Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	37.04721
0.02	-0.420013	32.77827
0.03	-0.430019	20.73817
0.04	-0.440025	37.36619
0.05	-0.450031	24.61889
0.06	-0.460038	26.14372
0.07	-0.470044	41.6221
0.08	-0.48005	36.33016
0.09	-0.490056	32.79962
0.1	-0.500063	24.81472
0.11	-0.510069	21.66497
0.12	-0.520075	29.60378
0.13	-0.530081	35.47269
0.14	-0.540088	25.99453
0.15	-0.550094	22.7263
0.16	-0.5601	36.50855
0.17	-0.570106	28.83703
0.18	-0.580113	40.02509
0.19	-0.590119	39.49342
0.2	-0.600125	33.89869
0.21	-0.610131	28.4192
0.22	-0.620138	24.58623
0.23	-0.630144	32.15055
0.24	-0.64015	32.16926
0.25	-0.650156	33.09493
0.26	-0.660163	34.03557
0.27	-0.670169	29.29514
0.28	-0.680175	24.72191
0.29	-0.690181	29.18921
0.3	-0.700188	29.51138
0.31	-0.710194	30.12758
0.32	-0.7202	26.74222
0.33	-0.730206	14.10832
0.34	-0.740213	24.87631
0.35000000000000003	-0.750219	27.38687
0.36	-0.760225	9.2512
0.37	-0.770231	27.75273
0.38	-0.780238	31.76263
0.39	-0.790244	29.6013
0.4	-0.80025	13.34778
0.41000000000000003	-0.810256	25.90443
0.42	-0.820263	30.34477
0.43	-0.830269	33.75375
0.44	-0.840275	36.22048
0.45	-0.850281	16.44576
0.46	-0.860288	26.39847
0.47000000000000003	-0.870294	32.23898
0.48	-0.8803	33.27893
0.49	-0.890306	29.59351
0.5	-0.900313	14.32985
0.51	-0.910319	29.4558
0.52	-0.920325	24.84365
0.53	-0.930331	32.57986
0.54	-0.940338	36.53146
0.55	-0.950344	20.71158
0.56	-0.96035	24.89076
0.5700000000000001	-0.970356	26.28718
0.58	-0.980363	26.43418
0.59	-0.990369	27.10701
0.6	-1.000375	23.66338
0.61	-1.010381	22.4623
0.62	-1.020388	27.15695
0.63	-1.030394	10.98128
0.64	-1.0404	29.23265
0.65	-1.050406	28.75418
0.66	-1.060413	22.37689
0.67	-1.070419	27.64967
0.68	-1.080425	25.71605
0.6900000000000001	-1.090431	20.29381
0.7000000000000001	-1.100438	23.0666
0.71	-1.110444	22.26179
0.72	-1.12045	2.81071
0.73	-1.130456	17.56074
0.74	-1.140463	21.92289
0.75	-1.150469	25.48733
0.76	-1.160475	22.1877
0.77	-1.170481	19.70917
0.78	-1.180488	17.36054
0.79	-1.190494	19.38454
0.8	-1.1995	10.75289
0.81	-1.189493	8.119275
0.8200000000000001	-1.179487	19.88003
0.8300000000000001	-1.169481	16.32539
0.84	-1.159475	18.67177
0.85	-1.149468	18.27868
0.86	-1.139462	21.3058
0.87	-1.129456	25.487
0.88	-1.11945	27.11
0.89	-1.109443	19.06261
0.9	-1.099437	17.74305
0.91	-1.089431	18.52337
0.92	-1.079425	23.53254
0.93	-1.069418	11.38233
0.9400000000000001	-1.059412	9.986948
0.9500000000000001	-1.049406	27.47178
0.96	-1.0394	21.13859
0.97	-1.029393	25.37807
0.98	-1.019387	11.75812
0.99	-1.009381	24.78031
1.0	-0.999375	26.28591
1.01	-0.989368	18.5596
1.02	-0.979362	9.213355
1.03	-0.969356	24.15133
1.04	-0.95935	9.053164
1.05	-0.949343	22.28531
1.06	-0.939337	26.00041
1.07	-0.929331	25.41592
1.08	-0.919325	20.25253
1.09	-0.909318	25.12177
1.1	-0.899312	28.7681
1.11	-0.889306	29.90555
1.12	-0.8793	19.3269
1.1300000000000001	-0.869293	23.91748
1.1400000000000001	-0.859287	25.74896
1.1500000000000001	-0.849281	27.29428
1.16	-0.839275	33.6192
1.17	-0.829268	29.20103
1.18	-0.819262	30.65366
1.19	-0.809256	22.83498
1.2	-0.79925	23.39229
1.21	-0.789243	27.46963
1.22	-0.779237	20.67754
1.23	-0.769231	38.11195
1.24	-0.759225	24.94106
1.25	-0.749218	9.479349
1.26	-0.739212	33.70912
1.27	-0.729206	30.05336
1.28	-0.7192	30.69263
1.29	-0.709193	29.75821
1.3	-0.699187	29.38622
1.31	-0.689181	29.99684
1.32	-0.679175	26.13154
1.33	-0.669168	29.54489
1.34	-0.659162	27.35371
1.35	-0.649156	35.31049
1.36	-0.63915	32.11642
1.37	-0.629143	29.21117
1.3800000000000001	-0.619137	23.23604
1.3900000000000001	-0.609131	23.04192
1.4000000000000001	-0.599125	24.19358
1.41	-0.589118	38.4365
1.42	-0.579112	28.35746
1.43	-0.569106	36.37065
1.44	-0.5591	25.62407
1.45	-0.549093	23.0991
1.46	-0.539087	28.88624
1.47	-0.529081	25.88624
1.48	-0.519075	24.44153
1.49	-0.509068	29.28713
1.5	-0.499062	28.05007
1.51	-0.489056	26.82604
1.52	-0.47905	29.49556
1.53	-0.469043	40.57858
1.54	-0.459037	41.4978
1.55	-0.449031	12.47381
1.56	-0.439025	35.27957
1.57	-0.429018	36.48373
1.58	-0.419012	40.26704
1.59	-0.409006	42.65854
