Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	34.6467
0.02	-0.420013	35.07975
0.03	-0.430019	41.57938
0.04	-0.440025	32.54622
0.05	-0.450031	35.81541
0.06	-0.460038	34.9608
0.07	-0.470044	38.4439
0.08	-0.48005	35.16064
0.09	-0.490056	43.2858
0.1	-0.500063	37.6429
0.11	-0.510069	31.10323
0.12	-0.520075	35.98482
0.13	-0.530081	35.26716
0.14	-0.540088	41.50114
0.15	-0.550094	25.59609
0.16	-0.5601	30.04315
0.17	-0.570106	39.59658
0.18	-0.580113	39.38311
0.19	-0.590119	33.70885
0.2	-0.600125	35.15968
0.21	-0.610131	34.95817
0.22	-0.620138	35.00837
0.23	-0.630144	25.34965
0.24	-0.64015	26.20003
0.25	-0.650156	37.14264
0.26	-0.660163	33.45232
0.27	-0.670169	31.16809
0.28	-0.680175	31.60873
0.29	-0.690181	34.37186
0.3	-0.700188	25.66739
0.31	-0.710194	32.68987
0.32	-0.7202	22.65316
0.33	-0.730206	34.09176
0.34	-0.740213	41.11845
0.35000000000000003	-0.750219	34.22469
0.36	-0.760225	40.32899
0.37	-0.770231	35.80832
0.38	-0.780238	27.89854
0.39	-0.790244	28.60102
0.4	-0.80025	13.92085
0.41000000000000003	-0.810256	22.68493
0.42	-0.820263	22.26872
0.43	-0.830269	24.64199
0.44	-0.840275	29.39061
0.45	-0.850281	22.85114
0.46	-0.860288	33.1304
0.47000000000000003	-0.870294	17.17604
0.48	-0.8803	28.88466
0.49	-0.890306	26.18347
0.5	-0.900313	33.4128
0.51	-0.910319	22.46309
0.52	-0.920325	27.87147
0.53	-0.930331	24.22099
0.54	-0.940338	20.8527
0.55	-0.950344	28.23924
0.56	-0.96035	26.2429
0.5700000000000001	-0.970356	26.93218
0.58	-0.980363	26.21846
0.59	-0.990369	22.8674
0.6	-1.000375	24.88521
0.61	-1.010381	17.94566
0.62	-1.020388	23.23522
0.63	-1.030394	20.3238
0.64	-1.0404	32.10192
0.65	-1.050406	15.44728
0.66	-1.060413	28.96498
0.67	-1.070419	22.27127
0.68	-1.080425	22.68886
0.6900000000000001	-1.090431	27.45956
0.7000000000000001	-1.100438	29.21134
0.71	-1.110444	23.16388
0.72	-1.12045	18.25928
0.73	-1.130456	29.75912
0.74	-1.140463	24.46567
0.75	-1.150469	28.96451
0.76	-1.160475	26.00403
0.77	-1.170481	19.00766
0.78	-1.180488	30.80214
0.79	-1.190494	20.17868
0.8	-1.1995	20.07223
0.81	-1.189493	19.36212
0.8200000000000001	-1.179487	21.75606
0.8300000000000001	-1.169481	16.97577
0.84	-1.159475	29.05025
0.85	-1.149468	18.85187
0.86	-1.139462	15.11764
0.87	-1.129456	22.94838
0.88	-1.11945	22.14233
0.89	-1.109443	22.62686
0.9	-1.099437	28.90996
0.91	-1.089431	26.66852
0.92	-1.079425	24.21052
0.93	-1.069418	25.8917
0.9400000000000001	-1.059412	12.80571
0.9500000000000001	-1.049406	26.97186
0.96	-1.0394	29.80743
0.97	-1.029393	25.18658
0.98	-1.019387	35.51609
0.99	-1.009381	11.28601
1.0	-0.999375	32.31812
1.01	-0.989368	23.02764
1.02	-0.979362	23.50187
1.03	-0.969356	15.0896
1.04	-0.95935	25.38411
1.05	-0.949343	19.68778
1.06	-0.939337	33.97866
1.07	-0.929331	27.86429
1.08	-0.919325	36.41101
1.09	-0.909318	22.53632
1.1	-0.899312	24.24953
1.11	-0.889306	25.18898
1.12	-0.8793	14.63739
1.1300000000000001	-0.869293	32.18988
1.1400000000000001	-0.859287	20.52134
1.1500000000000001	-0.849281	23.7846
1.16	-0.839275	29.35554
1.17	-0.829268	28.49946
1.18	-0.819262	15.8534
1.19	-0.809256	30.59153
1.2	-0.79925	23.1563
1.21	-0.789243	30.51088
1.22	-0.779237	17.066
1.23	-0.769231	23.41581
1.24	-0.759225	30.73354
1.25	-0.749218	30.13625
1.26	-0.739212	34.99544
1.27	-0.729206	14.16783
1.28	-0.7192	19.58161
1.29	-0.709193	36.45919
1.3	-0.699187	28.69342
1.31	-0.689181	28.15805
1.32	-0.679175	38.46081
1.33	-0.669168	34.66767
1.34	-0.659162	32.54408
1.35	-0.649156	40.70343
1.36	-0.63915	29.18213
1.37	-0.629143	31.80533
1.3800000000000001	-0.619137	32.52107
1.3900000000000001	-0.609131	29.34742
1.4000000000000001	-0.599125	36.492
1.41	-0.589118	37.71861
1.42	-0.579112	31.4261
1.43	-0.569106	36.95217
1.44	-0.5591	37.95305
1.45	-0.549093	23.90924
1.46	-0.539087	36.41825
1.47	-0.529081	31.64121
1.48	-0.519075	31.23779
1.49	-0.509068	38.93622
1.5	-0.499062	33.93186
1.51	-0.489056	30.64631
1.52	-0.47905	31.90261
1.53	-0.469043	34.86809
1.54	-0.459037	44.67025
1.55	-0.449031	43.04928
1.56	-0.439025	32.52657
1.57	-0.429018	26.53752
1.58	-0.419012	43.56787
1.59	-0.409006	38.88254
