Time (s)	Voltage (V)	Current (uA)
0.01	-0.4005	33.30981
0.02	-0.401	29.53779
0.03	-0.4015	30.66443
0.04	-0.402	26.38807
0.05	-0.4025	27.59257
0.06	-0.403	33.20534
0.07	-0.4035	25.79946
0.08	-0.404	21.02563
0.09	-0.4045	29.68234
0.1	-0.405	31.19913
0.11	-0.4055	31.32945
0.12	-0.406	31.03028
0.13	-0.4065	29.42177
0.14	-0.407	23.21395
0.15	-0.4075	33.16749
0.16	-0.408	33.95708
0.17	-0.4085	27.36092
0.18	-0.409	21.00945
0.19	-0.4095	28.82301
0.2	-0.41	26.65308
0.21	-0.4105	34.22813
0.22	-0.411	24.8812
0.23	-0.4115	29.78291
0.24	-0.412001	17.09495
0.25	-0.412501	7.744167
0.26	-0.413001	28.87067
0.27	-0.413501	34.12542
0.28	-0.414001	14.70657
0.29	-0.414501	26.72761
0.3	-0.415001	25.77372
0.31	-0.415501	26.00331
0.32	-0.416001	15.90307
0.33	-0.416501	40.16838
0.34	-0.417001	16.61413
0.35000000000000003	-0.417501	18.7278
0.36	-0.418001	20.60386
0.37	-0.418501	23.3418
0.38	-0.419001	31.88117
0.39	-0.419501	24.3334
0.4	-0.420001	25.02033
0.41000000000000003	-0.420501	22.89123
0.42	-0.421001	26.81298
0.43	-0.421501	34.01365
0.44	-0.422001	22.92662
0.45	-0.422501	27.85444
0.46	-0.423001	40.50739
0.47000000000000003	-0.423501	21.81455
0.48	-0.424001	17.37429
0.49	-0.424501	23.57528
0.5	-0.425001	22.80642
0.51	-0.425501	28.83104
0.52	-0.426001	34.1332
0.53	-0.426501	16.64738
0.54	-0.427001	31.44403
0.55	-0.427501	22.26458
0.56	-0.428001	30.71285
0.5700000000000001	-0.428501	31.29382
0.58	-0.429001	34.84604
0.59	-0.429501	34.27472
0.6	-0.430001	29.10672
0.61	-0.430501	25.76264
0.62	-0.431001	32.89823
0.63	-0.431501	38.12852
0.64	-0.432001	16.4807
0.65	-0.432501	24.54825
0.66	-0.433001	21.62611
0.67	-0.433501	20.14154
0.68	-0.434001	38.70071
0.6900000000000001	-0.434501	18.8749
0.7000000000000001	-0.435001	22.52722
0.71	-0.435501	36.48858
0.72	-0.436001	25.6404
0.73	-0.436501	24.15855
0.74	-0.437001	22.17137
0.75	-0.437501	20.72396
0.76	-0.438001	18.44919
0.77	-0.438501	26.6087
0.78	-0.439001	29.6406
0.79	-0.439501	26.57639
0.8	-0.440001	25.49208
0.81	-0.440501	26.60652
0.8200000000000001	-0.441001	22.53275
0.8300000000000001	-0.441501	39.59711
0.84	-0.442001	31.98935
0.85	-0.442501	20.21599
0.86	-0.443001	26.41695
0.87	-0.443501	30.48246
0.88	-0.444002	18.39476
0.89	-0.444502	21.0758
0.9	-0.445002	28.62685
0.91	-0.445502	32.93339
0.92	-0.446002	32.74844
0.93	-0.446502	27.58257
0.9400000000000001	-0.447002	23.12737
0.9500000000000001	-0.447502	25.63359
0.96	-0.448002	21.31801
0.97	-0.448502	17.53052
0.98	-0.449002	35.02223
0.99	-0.449502	26.66434
1.0	-0.450002	17.22347
1.01	-0.450502	30.86415
1.02	-0.451002	28.74359
1.03	-0.451502	25.04602
1.04	-0.452002	29.90777
1.05	-0.452502	26.29242
1.06	-0.453002	23.89095
1.07	-0.453502	24.9121
1.08	-0.454002	34.18435
1.09	-0.454502	21.61254
1.1	-0.455002	25.48848
1.11	-0.455502	24.05955
1.12	-0.456002	24.2799
1.1300000000000001	-0.456502	15.75538
1.1400000000000001	-0.457002	8.798098
1.1500000000000001	-0.457502	33.8847
1.16	-0.458002	31.71616
1.17	-0.458502	16.51352
1.18	-0.459002	13.78234
1.19	-0.459502	19.74883
1.2	-0.460002	23.79572
1.21	-0.460502	28.84689
1.22	-0.461002	17.89607
1.23	-0.461502	14.79951
1.24	-0.462002	27.61701
1.25	-0.462502	30.86176
1.26	-0.463002	31.83339
1.27	-0.463502	24.52307
1.28	-0.464002	32.15324
1.29	-0.464502	12.40222
1.3	-0.465002	27.72369
1.31	-0.465502	30.99308
1.32	-0.466002	24.44718
1.33	-0.466502	22.48623
1.34	-0.467002	30.15846
1.35	-0.467502	13.50695
1.36	-0.468002	19.1581
1.37	-0.468502	20.48192
1.3800000000000001	-0.469002	35.69136
1.3900000000000001	-0.469502	41.17384
1.4000000000000001	-0.470002	19.66781
1.41	-0.470502	24.31096
1.42	-0.471002	21.3538
1.43	-0.471502	33.92199
1.44	-0.472002	22.85124
1.45	-0.472502	6.916508
1.46	-0.473002	30.53066
1.47	-0.473502	30.61658
1.48	-0.474002	26.27581
1.49	-0.474502	15.10826
1.5	-0.475002	11.88137
1.51	-0.475502	42.41357
1.52	-0.476003	29.48985
1.53	-0.476503	24.31614
1.54	-0.477003	33.62348
1.55	-0.477503	26.30049
1.56	-0.478003	15.02242
1.57	-0.478503	26.26428
1.58	-0.479003	35.77906
1.59	-0.479503	21.13283
1.6	-0.480003	25.18471
1.61	-0.480503	30.0716
1.62	-0.481003	24.90556
1.6300000000000001	-0.481503	34.21457
1.6400000000000001	-0.482003	38.51756
1.6500000000000001	-0.482503	21.6461
1.6600000000000001	-0.483003	29.25834
1.67	-0.483503	24.07089
1.68	-0.484003	28.03132
1.69	-0.484503	37.1137
1.7	-0.485003	34.88662
1.71	-0.485503	28.62299
1.72	-0.486003	26.84713
1.73	-0.486503	15.21417
1.74	-0.487003	39.95739
1.75	-0.487503	30.83875
1.76	-0.488003	27.11249
1.77	-0.488503	15.95987
1.78	-0.489003	19.49209
1.79	-0.489503	20.30277
1.8	-0.490003	20.10314
1.81	-0.490503	30.21269
1.82	-0.491003	34.60627
1.83	-0.491503	16.92829
1.84	-0.492003	20.4385
1.85	-0.492503	34.50208
1.86	-0.493003	22.38607
1.87	-0.493503	18.75608
1.8800000000000001	-0.494003	33.43144
1.8900000000000001	-0.494503	9.451182
1.9000000000000001	-0.495003	14.88941
1.9100000000000001	-0.495503	21.24463
1.92	-0.496003	25.4517
1.93	-0.496503	27.8981
1.94	-0.497003	13.5686
1.95	-0.497503	15.31362
1.96	-0.498003	9.982703
