Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	38.69321
0.02	-0.420013	45.89215
0.03	-0.430019	48.32351
0.04	-0.440025	43.06486
0.05	-0.450031	37.28177
0.06	-0.460038	45.67078
0.07	-0.470044	32.86468
0.08	-0.48005	43.42144
0.09	-0.490056	35.20009
0.1	-0.500063	26.61631
0.11	-0.510069	32.48067
0.12	-0.520075	30.97867
0.13	-0.530081	25.30455
0.14	-0.540088	35.64826
0.15	-0.550094	38.44728
0.16	-0.5601	33.015
0.17	-0.570106	29.12093
0.18	-0.580113	38.90577
0.19	-0.590119	33.64095
0.2	-0.600125	31.32357
0.21	-0.610131	44.4671
0.22	-0.620138	38.99871
0.23	-0.630144	34.70944
0.24	-0.64015	42.25243
0.25	-0.650156	33.57725
0.26	-0.660163	28.02945
0.27	-0.670169	34.5227
0.28	-0.680175	39.35162
0.29	-0.690181	34.6047
0.3	-0.700188	22.22861
0.31	-0.710194	22.94056
0.32	-0.7202	37.19844
0.33	-0.730206	38.3783
0.34	-0.740213	25.39331
0.35000000000000003	-0.750219	34.15137
0.36	-0.760225	36.3679
0.37	-0.770231	22.39151
0.38	-0.780238	28.81886
0.39	-0.790244	28.09813
0.4	-0.80025	31.0559
0.41000000000000003	-0.810256	21.4988
0.42	-0.820263	20.38419
0.43	-0.830269	32.63885
0.44	-0.840275	30.28233
0.45	-0.850281	31.20601
0.46	-0.860288	27.07053
0.47000000000000003	-0.870294	41.7186
0.48	-0.8803	30.87739
0.49	-0.890306	25.71006
0.5	-0.900313	26.51511
0.51	-0.910319	27.8159
0.52	-0.920325	31.99928
0.53	-0.930331	32.68475
0.54	-0.940338	24.0386
0.55	-0.950344	34.58449
0.56	-0.96035	38.46277
0.5700000000000001	-0.970356	20.0105
0.58	-0.980363	17.51898
0.59	-0.990369	32.93719
0.6	-1.000375	26.38
0.61	-1.010381	26.72888
0.62	-1.020388	30.19347
0.63	-1.030394	34.18739
0.64	-1.0404	19.8232
0.65	-1.050406	25.84746
0.66	-1.060413	29.24667
0.67	-1.070419	29.31837
0.68	-1.080425	16.73822
0.6900000000000001	-1.090431	22.99711
0.7000000000000001	-1.100438	25.22747
0.71	-1.110444	28.18394
0.72	-1.12045	24.65266
0.73	-1.130456	30.58199
0.74	-1.140463	20.73896
0.75	-1.150469	22.38302
0.76	-1.160475	25.96337
0.77	-1.170481	24.65361
0.78	-1.180488	32.71247
0.79	-1.190494	26.24312
0.8	-1.1995	23.55459
0.81	-1.189493	11.57734
0.8200000000000001	-1.179487	15.50989
0.8300000000000001	-1.169481	24.19124
0.84	-1.159475	32.15899
0.85	-1.149468	26.41385
0.86	-1.139462	22.37751
0.87	-1.129456	24.12569
0.88	-1.11945	28.63937
0.89	-1.109443	18.9115
0.9	-1.099437	26.84702
0.91	-1.089431	20.16501
0.92	-1.079425	34.8828
0.93	-1.069418	22.17466
0.9400000000000001	-1.059412	12.9237
0.9500000000000001	-1.049406	22.19352
0.96	-1.0394	28.24052
0.97	-1.029393	30.43808
0.98	-1.019387	19.43805
0.99	-1.009381	30.21668
1.0	-0.999375	20.73382
1.01	-0.989368	20.82442
1.02	-0.979362	33.05392
1.03	-0.969356	32.06674
1.04	-0.95935	26.12275
1.05	-0.949343	35.12533
1.06	-0.939337	23.51032
1.07	-0.929331	31.97743
1.08	-0.919325	34.8773
1.09	-0.909318	25.27078
1.1	-0.899312	19.93405
1.11	-0.889306	29.01128
1.12	-0.8793	38.91107
1.1300000000000001	-0.869293	32.67965
1.1400000000000001	-0.859287	37.37641
1.1500000000000001	-0.849281	25.89226
1.16	-0.839275	25.09323
1.17	-0.829268	28.97839
1.18	-0.819262	19.29756
1.19	-0.809256	32.87429
1.2	-0.79925	35.31784
1.21	-0.789243	29.62195
1.22	-0.779237	34.72198
1.23	-0.769231	36.32715
1.24	-0.759225	40.87261
1.25	-0.749218	35.12563
1.26	-0.739212	26.39332
1.27	-0.729206	35.11787
1.28	-0.7192	39.66424
1.29	-0.709193	31.45025
1.3	-0.699187	36.91864
1.31	-0.689181	33.37907
1.32	-0.679175	26.22486
1.33	-0.669168	28.59604
1.34	-0.659162	33.17437
1.35	-0.649156	34.29603
1.36	-0.63915	36.85947
1.37	-0.629143	34.21115
1.3800000000000001	-0.619137	39.50928
1.3900000000000001	-0.609131	39.19423
1.4000000000000001	-0.599125	46.52042
1.41	-0.589118	36.06495
1.42	-0.579112	37.60921
1.43	-0.569106	36.12983
1.44	-0.5591	39.17128
1.45	-0.549093	38.3067
1.46	-0.539087	38.3914
1.47	-0.529081	39.03713
1.48	-0.519075	44.40361
1.49	-0.509068	38.78365
1.5	-0.499062	40.6838
1.51	-0.489056	36.93744
1.52	-0.47905	38.44207
1.53	-0.469043	42.18102
1.54	-0.459037	38.09022
1.55	-0.449031	37.1643
1.56	-0.439025	39.51703
1.57	-0.429018	39.48732
1.58	-0.419012	38.54862
1.59	-0.409006	37.78833
