Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	35.06888
0.02	-0.420013	28.95489
0.03	-0.430019	32.72334
0.04	-0.440025	45.99807
0.05	-0.450031	35.70996
0.06	-0.460038	35.63602
0.07	-0.470044	31.45771
0.08	-0.48005	26.97779
0.09	-0.490056	39.68704
0.1	-0.500063	38.10663
0.11	-0.510069	36.86746
0.12	-0.520075	29.20267
0.13	-0.530081	25.23077
0.14	-0.540088	31.62329
0.15	-0.550094	22.67627
0.16	-0.5601	17.4362
0.17	-0.570106	36.31075
0.18	-0.580113	31.14512
0.19	-0.590119	34.47822
0.2	-0.600125	33.00907
0.21	-0.610131	25.65679
0.22	-0.620138	24.09955
0.23	-0.630144	15.65147
0.24	-0.64015	31.65841
0.25	-0.650156	34.56144
0.26	-0.660163	23.38542
0.27	-0.670169	25.22055
0.28	-0.680175	28.03056
0.29	-0.690181	27.94911
0.3	-0.700188	32.52901
0.31	-0.710194	17.7291
0.32	-0.7202	18.82642
0.33	-0.730206	27.56388
0.34	-0.740213	22.02436
0.35000000000000003	-0.750219	15.0853
0.36	-0.760225	26.67517
0.37	-0.770231	33.20264
0.38	-0.780238	23.42785
0.39	-0.790244	29.10583
0.4	-0.80025	21.88705
0.41000000000000003	-0.810256	32.44194
0.42	-0.820263	37.72556
0.43	-0.830269	23.20875
0.44	-0.840275	27.59182
0.45	-0.850281	27.87538
0.46	-0.860288	29.52652
0.47000000000000003	-0.870294	21.9336
0.48	-0.8803	27.80338
0.49	-0.890306	22.82697
0.5	-0.900313	22.71871
0.51	-0.910319	26.15294
0.52	-0.920325	22.36051
0.53	-0.930331	17.64642
0.54	-0.940338	19.46479
0.55	-0.950344	26.74212
0.56	-0.96035	18.8208
0.5700000000000001	-0.970356	24.38232
0.58	-0.980363	24.66674
0.59	-0.990369	28.20313
0.6	-1.000375	18.11582
0.61	-1.010381	10.55604
0.62	-1.020388	23.4467
0.63	-1.030394	19.29877
0.64	-1.0404	34.61095
0.65	-1.050406	18.3634
0.66	-1.060413	26.60772
0.67	-1.070419	23.63523
0.68	-1.080425	15.20217
0.6900000000000001	-1.090431	18.00012
0.7000000000000001	-1.100438	13.51468
0.71	-1.110444	22.39291
0.72	-1.12045	19.46877
0.73	-1.130456	25.53247
0.74	-1.140463	22.76421
0.75	-1.150469	22.07748
0.76	-1.160475	28.49348
0.77	-1.170481	14.15649
0.78	-1.180488	20.82333
0.79	-1.190494	19.04373
0.8	-1.1995	25.34169
0.81	-1.189493	2.078664
0.8200000000000001	-1.179487	24.19316
0.8300000000000001	-1.169481	17.7728
0.84	-1.159475	5.609872
0.85	-1.149468	9.186635
0.86	-1.139462	27.99051
0.87	-1.129456	20.88411
0.88	-1.11945	13.04643
0.89	-1.109443	29.49491
0.9	-1.099437	19.96503
0.91	-1.089431	15.34811
0.92	-1.079425	12.74616
0.93	-1.069418	22.26243
0.9400000000000001	-1.059412	21.61597
0.9500000000000001	-1.049406	20.42777
0.96	-1.0394	26.59864
0.97	-1.029393	15.19557
0.98	-1.019387	16.12426
0.99	-1.009381	25.1796
1.0	-0.999375	18.40792
1.01	-0.989368	23.1757
1.02	-0.979362	25.36478
1.03	-0.969356	33.06118
1.04	-0.95935	32.4813
1.05	-0.949343	21.79748
1.06	-0.939337	22.05634
1.07	-0.929331	14.70738
1.08	-0.919325	22.51331
1.09	-0.909318	15.32952
1.1	-0.899312	32.16512
1.11	-0.889306	17.70374
1.12	-0.8793	18.14853
1.1300000000000001	-0.869293	26.16887
1.1400000000000001	-0.859287	25.68919
1.1500000000000001	-0.849281	33.03674
1.16	-0.839275	14.67612
1.17	-0.829268	22.99845
1.18	-0.819262	26.23931
1.19	-0.809256	30.87128
1.2	-0.79925	25.67912
1.21	-0.789243	32.53046
1.22	-0.779237	29.37146
1.23	-0.769231	25.53066
1.24	-0.759225	32.9936
1.25	-0.749218	21.13528
1.26	-0.739212	34.18554
1.27	-0.729206	29.28673
1.28	-0.7192	30.01581
1.29	-0.709193	21.77701
1.3	-0.699187	32.90712
1.31	-0.689181	20.7419
1.32	-0.679175	27.45554
1.33	-0.669168	27.59604
1.34	-0.659162	28.52778
1.35	-0.649156	16.58935
1.36	-0.63915	22.3629
1.37	-0.629143	24.85827
1.3800000000000001	-0.619137	26.07263
1.3900000000000001	-0.609131	32.22797
1.4000000000000001	-0.599125	24.13648
1.41	-0.589118	25.90694
1.42	-0.579112	31.20621
1.43	-0.569106	19.55298
1.44	-0.5591	39.93363
1.45	-0.549093	28.56374
1.46	-0.539087	37.98478
1.47	-0.529081	32.22756
1.48	-0.519075	25.8381
1.49	-0.509068	25.33103
1.5	-0.499062	21.26334
1.51	-0.489056	23.425
1.52	-0.47905	19.94343
1.53	-0.469043	36.8013
1.54	-0.459037	45.90598
1.55	-0.449031	46.26893
1.56	-0.439025	35.32188
1.57	-0.429018	30.89144
1.58	-0.419012	30.60606
1.59	-0.409006	35.35393
