Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	36.52845
0.02	-0.420013	34.28151
0.03	-0.430019	38.87999
0.04	-0.440025	33.65946
0.05	-0.450031	47.46048
0.06	-0.460038	39.25139
0.07	-0.470044	33.32187
0.08	-0.48005	35.95211
0.09	-0.490056	29.85798
0.1	-0.500063	34.46401
0.11	-0.510069	29.55516
0.12	-0.520075	37.40029
0.13	-0.530081	47.12463
0.14	-0.540088	29.8127
0.15	-0.550094	34.46065
0.16	-0.5601	32.27266
0.17	-0.570106	31.09053
0.18	-0.580113	20.38243
0.19	-0.590119	38.59707
0.2	-0.600125	33.40434
0.21	-0.610131	44.04746
0.22	-0.620138	39.3759
0.23	-0.630144	24.96234
0.24	-0.64015	37.10096
0.25	-0.650156	33.76251
0.26	-0.660163	29.75963
0.27	-0.670169	31.49771
0.28	-0.680175	35.90987
0.29	-0.690181	28.60929
0.3	-0.700188	34.42759
0.31	-0.710194	36.45159
0.32	-0.7202	37.63299
0.33	-0.730206	36.50437
0.34	-0.740213	37.17638
0.35000000000000003	-0.750219	41.66988
0.36	-0.760225	31.69457
0.37	-0.770231	38.829
0.38	-0.780238	25.22379
0.39	-0.790244	34.73261
0.4	-0.80025	26.46866
0.41000000000000003	-0.810256	31.83408
0.42	-0.820263	34.36826
0.43	-0.830269	35.73271
0.44	-0.840275	36.31469
0.45	-0.850281	22.38862
0.46	-0.860288	18.60286
0.47000000000000003	-0.870294	31.49917
0.48	-0.8803	32.63042
0.49	-0.890306	38.13037
0.5	-0.900313	34.2724
0.51	-0.910319	40.11204
0.52	-0.920325	26.87216
0.53	-0.930331	21.6217
0.54	-0.940338	32.42766
0.55	-0.950344	26.19412
0.56	-0.96035	26.91426
0.5700000000000001	-0.970356	28.92668
0.58	-0.980363	25.92761
0.59	-0.990369	29.32168
0.6	-1.000375	28.54765
0.61	-1.010381	31.75191
0.62	-1.020388	23.08076
0.63	-1.030394	17.13273
0.64	-1.0404	18.57798
0.65	-1.050406	26.134
0.66	-1.060413	27.0786
0.67	-1.070419	20.72608
0.68	-1.080425	24.30904
0.6900000000000001	-1.090431	29.07426
0.7000000000000001	-1.100438	25.87475
0.71	-1.110444	29.85243
0.72	-1.12045	31.81809
0.73	-1.130456	16.10215
0.74	-1.140463	19.04693
0.75	-1.150469	18.1531
0.76	-1.160475	25.0892
0.77	-1.170481	10.59326
0.78	-1.180488	19.26899
0.79	-1.190494	8.16715
0.8	-1.1995	25.01752
0.81	-1.189493	20.23927
0.8200000000000001	-1.179487	22.23843
0.8300000000000001	-1.169481	26.72351
0.84	-1.159475	19.03323
0.85	-1.149468	15.8121
0.86	-1.139462	29.89388
0.87	-1.129456	29.57411
0.88	-1.11945	22.09527
0.89	-1.109443	32.15039
0.9	-1.099437	25.06024
0.91	-1.089431	23.85388
0.92	-1.079425	29.85797
0.93	-1.069418	38.60349
0.9400000000000001	-1.059412	27.26429
0.9500000000000001	-1.049406	37.2849
0.96	-1.0394	26.13138
0.97	-1.029393	37.19703
0.98	-1.019387	35.33569
0.99	-1.009381	37.47399
1.0	-0.999375	28.03265
1.01	-0.989368	27.20195
1.02	-0.979362	31.00895
1.03	-0.969356	24.67308
1.04	-0.95935	27.19927
1.05	-0.949343	23.82896
1.06	-0.939337	24.42449
1.07	-0.929331	26.35284
1.08	-0.919325	27.92245
1.09	-0.909318	31.86244
1.1	-0.899312	25.30717
1.11	-0.889306	31.00488
1.12	-0.8793	23.90567
1.1300000000000001	-0.869293	29.46413
1.1400000000000001	-0.859287	42.06148
1.1500000000000001	-0.849281	39.73288
1.16	-0.839275	26.71452
1.17	-0.829268	40.16395
1.18	-0.819262	24.70942
1.19	-0.809256	27.21649
1.2	-0.79925	23.9371
1.21	-0.789243	26.04391
1.22	-0.779237	40.44794
1.23	-0.769231	22.83719
1.24	-0.759225	32.58245
1.25	-0.749218	27.57602
1.26	-0.739212	27.44252
1.27	-0.729206	25.5878
1.28	-0.7192	32.33381
1.29	-0.709193	43.61212
1.3	-0.699187	37.29232
1.31	-0.689181	35.09944
1.32	-0.679175	43.32209
1.33	-0.669168	27.15173
1.34	-0.659162	39.74411
1.35	-0.649156	29.21966
1.36	-0.63915	27.58189
1.37	-0.629143	42.81542
1.3800000000000001	-0.619137	34.28082
1.3900000000000001	-0.609131	33.87915
1.4000000000000001	-0.599125	43.36059
1.41	-0.589118	43.16367
1.42	-0.579112	28.5021
1.43	-0.569106	37.42319
1.44	-0.5591	44.68523
1.45	-0.549093	35.58294
1.46	-0.539087	42.99414
1.47	-0.529081	41.39991
1.48	-0.519075	37.3666
1.49	-0.509068	41.81868
1.5	-0.499062	38.01663
1.51	-0.489056	31.36349
1.52	-0.47905	41.90762
1.53	-0.469043	33.35158
1.54	-0.459037	29.52498
1.55	-0.449031	37.7273
1.56	-0.439025	35.10019
1.57	-0.429018	38.05098
1.58	-0.419012	32.51095
1.59	-0.409006	44.89042
