Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	36.72239
0.02	-0.420013	45.94341
0.03	-0.430019	33.97879
0.04	-0.440025	32.7332
0.05	-0.450031	42.37681
0.06	-0.460038	26.12601
0.07	-0.470044	34.46296
0.08	-0.48005	30.38003
0.09	-0.490056	47.01077
0.1	-0.500063	43.2941
0.11	-0.510069	35.60832
0.12	-0.520075	33.65291
0.13	-0.530081	31.55976
0.14	-0.540088	30.73824
0.15	-0.550094	28.43538
0.16	-0.5601	28.77784
0.17	-0.570106	36.0165
0.18	-0.580113	36.05748
0.19	-0.590119	32.38286
0.2	-0.600125	29.33665
0.21	-0.610131	45.09559
0.22	-0.620138	38.72137
0.23	-0.630144	33.04559
0.24	-0.64015	27.07945
0.25	-0.650156	34.1837
0.26	-0.660163	31.45298
0.27	-0.670169	40.9702
0.28	-0.680175	36.73048
0.29	-0.690181	33.45004
0.3	-0.700188	28.8164
0.31	-0.710194	28.88177
0.32	-0.7202	36.26948
0.33	-0.730206	30.93066
0.34	-0.740213	25.66132
0.35000000000000003	-0.750219	39.78616
0.36	-0.760225	22.01733
0.37	-0.770231	26.8592
0.38	-0.780238	36.42596
0.39	-0.790244	35.05288
0.4	-0.80025	24.88824
0.41000000000000003	-0.810256	23.16483
0.42	-0.820263	31.83614
0.43	-0.830269	27.24728
0.44	-0.840275	24.86494
0.45	-0.850281	25.23824
0.46	-0.860288	21.78183
0.47000000000000003	-0.870294	31.14265
0.48	-0.8803	27.40754
0.49	-0.890306	40.18269
0.5	-0.900313	27.11562
0.51	-0.910319	24.21603
0.52	-0.920325	22.64417
0.53	-0.930331	31.58185
0.54	-0.940338	25.3663
0.55	-0.950344	27.33532
0.56	-0.96035	25.00199
0.5700000000000001	-0.970356	21.99018
0.58	-0.980363	27.12309
0.59	-0.990369	27.85429
0.6	-1.000375	32.65565
0.61	-1.010381	28.40924
0.62	-1.020388	31.54962
0.63	-1.030394	33.50716
0.64	-1.0404	36.84521
0.65	-1.050406	19.6176
0.66	-1.060413	30.60632
0.67	-1.070419	21.14552
0.68	-1.080425	16.68806
0.6900000000000001	-1.090431	14.41725
0.7000000000000001	-1.100438	18.49709
0.71	-1.110444	20.24288
0.72	-1.12045	19.97366
0.73	-1.130456	33.04297
0.74	-1.140463	17.4025
0.75	-1.150469	29.54877
0.76	-1.160475	12.77254
0.77	-1.170481	25.53991
0.78	-1.180488	21.02005
0.79	-1.190494	26.04262
0.8	-1.1995	13.36036
0.81	-1.189493	18.00101
0.8200000000000001	-1.179487	29.72676
0.8300000000000001	-1.169481	29.17387
0.84	-1.159475	25.35874
0.85	-1.149468	24.48963
0.86	-1.139462	32.17762
0.87	-1.129456	24.58104
0.88	-1.11945	25.77456
0.89	-1.109443	27.55919
0.9	-1.099437	14.54897
0.91	-1.089431	22.89284
0.92	-1.079425	25.28855
0.93	-1.069418	26.53203
0.9400000000000001	-1.059412	29.56979
0.9500000000000001	-1.049406	31.74608
0.96	-1.0394	20.79266
0.97	-1.029393	25.78377
0.98	-1.019387	31.79945
0.99	-1.009381	22.58654
1.0	-0.999375	35.48112
1.01	-0.989368	19.99295
1.02	-0.979362	27.892
1.03	-0.969356	24.3561
1.04	-0.95935	23.57915
1.05	-0.949343	30.88201
1.06	-0.939337	32.111
1.07	-0.929331	19.98682
1.08	-0.919325	35.35791
1.09	-0.909318	34.2635
1.1	-0.899312	32.94104
1.11	-0.889306	20.94012
1.12	-0.8793	29.6872
1.1300000000000001	-0.869293	37.12173
1.1400000000000001	-0.859287	32.51311
1.1500000000000001	-0.849281	28.17726
1.16	-0.839275	16.95226
1.17	-0.829268	22.72347
1.18	-0.819262	33.49398
1.19	-0.809256	38.95422
1.2	-0.79925	23.80874
1.21	-0.789243	20.20819
1.22	-0.779237	34.19369
1.23	-0.769231	25.82052
1.24	-0.759225	40.25425
1.25	-0.749218	28.58853
1.26	-0.739212	29.2075
1.27	-0.729206	25.12248
1.28	-0.7192	34.75389
1.29	-0.709193	32.84986
1.3	-0.699187	36.67757
1.31	-0.689181	22.02132
1.32	-0.679175	18.3666
1.33	-0.669168	25.05515
1.34	-0.659162	29.64297
1.35	-0.649156	33.23323
1.36	-0.63915	37.12603
1.37	-0.629143	27.44434
1.3800000000000001	-0.619137	38.14766
1.3900000000000001	-0.609131	36.0861
1.4000000000000001	-0.599125	38.2514
1.41	-0.589118	40.24353
1.42	-0.579112	35.10681
1.43	-0.569106	46.38049
1.44	-0.5591	35.15134
1.45	-0.549093	25.87
1.46	-0.539087	43.77493
1.47	-0.529081	24.16684
1.48	-0.519075	28.38095
1.49	-0.509068	27.11521
1.5	-0.499062	30.5632
1.51	-0.489056	31.81327
1.52	-0.47905	34.79158
1.53	-0.469043	32.11992
1.54	-0.459037	34.98055
1.55	-0.449031	19.88826
1.56	-0.439025	31.94351
1.57	-0.429018	32.77211
1.58	-0.419012	39.48209
1.59	-0.409006	32.05232
