Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	45.01682
0.02	-0.420013	37.93985
0.03	-0.430019	41.21166
0.04	-0.440025	38.5571
0.05	-0.450031	45.23483
0.06	-0.460038	36.78504
0.07	-0.470044	37.96378
0.08	-0.48005	50.04887
0.09	-0.490056	34.15115
0.1	-0.500063	36.57317
0.11	-0.510069	46.84501
0.12	-0.520075	34.77771
0.13	-0.530081	39.93918
0.14	-0.540088	44.07929
0.15	-0.550094	35.62368
0.16	-0.5601	36.66796
0.17	-0.570106	38.91295
0.18	-0.580113	34.64066
0.19	-0.590119	41.83432
0.2	-0.600125	39.9822
0.21	-0.610131	38.57682
0.22	-0.620138	18.48952
0.23	-0.630144	36.02167
0.24	-0.64015	20.37611
0.25	-0.650156	42.00411
0.26	-0.660163	40.08256
0.27	-0.670169	39.80532
0.28	-0.680175	39.10611
0.29	-0.690181	25.78423
0.3	-0.700188	29.30048
0.31	-0.710194	38.23764
0.32	-0.7202	29.09652
0.33	-0.730206	26.02593
0.34	-0.740213	29.29185
0.35000000000000003	-0.750219	28.63004
0.36	-0.760225	40.25585
0.37	-0.770231	32.32443
0.38	-0.780238	30.33868
0.39	-0.790244	32.71312
0.4	-0.80025	17.83497
0.41000000000000003	-0.810256	34.24323
0.42	-0.820263	37.61978
0.43	-0.830269	23.39702
0.44	-0.840275	40.73866
0.45	-0.850281	38.9187
0.46	-0.860288	33.24703
0.47000000000000003	-0.870294	35.13337
0.48	-0.8803	22.5842
0.49	-0.890306	39.34147
0.5	-0.900313	26.16671
0.51	-0.910319	33.8888
0.52	-0.920325	19.91963
0.53	-0.930331	32.0459
0.54	-0.940338	21.3437
0.55	-0.950344	27.31533
0.56	-0.96035	35.50143
0.5700000000000001	-0.970356	30.93853
0.58	-0.980363	17.18535
0.59	-0.990369	37.64818
0.6	-1.000375	31.05681
0.61	-1.010381	37.15612
0.62	-1.020388	29.38407
0.63	-1.030394	23.20269
0.64	-1.0404	24.47234
0.65	-1.050406	36.80475
0.66	-1.060413	31.14911
0.67	-1.070419	31.04428
0.68	-1.080425	33.6273
0.6900000000000001	-1.090431	29.70005
0.7000000000000001	-1.100438	17.8407
0.71	-1.110444	36.9206
0.72	-1.12045	28.46194
0.73	-1.130456	27.14594
0.74	-1.140463	20.8721
0.75	-1.150469	32.41707
0.76	-1.160475	14.67264
0.77	-1.170481	19.89251
0.78	-1.180488	28.94649
0.79	-1.190494	14.99954
0.8	-1.1995	31.30089
0.81	-1.189493	35.44757
0.8200000000000001	-1.179487	23.04279
0.8300000000000001	-1.169481	16.68442
0.84	-1.159475	32.94253
0.85	-1.149468	29.11905
0.86	-1.139462	11.91052
0.87	-1.129456	24.90043
0.88	-1.11945	36.70075
0.89	-1.109443	31.9346
0.9	-1.099437	30.36143
0.91	-1.089431	31.13278
0.92	-1.079425	26.78952
0.93	-1.069418	23.78735
0.9400000000000001	-1.059412	17.17486
0.9500000000000001	-1.049406	37.54641
0.96	-1.0394	22.59349
0.97	-1.029393	30.15425
0.98	-1.019387	19.68139
0.99	-1.009381	21.87281
1.0	-0.999375	17.42862
1.01	-0.989368	23.93082
1.02	-0.979362	26.34703
1.03	-0.969356	34.72979
1.04	-0.95935	29.97199
1.05	-0.949343	32.46709
1.06	-0.939337	35.99322
1.07	-0.929331	21.41866
1.08	-0.919325	24.38046
1.09	-0.909318	22.3364
1.1	-0.899312	37.9763
1.11	-0.889306	24.14305
1.12	-0.8793	32.29612
1.1300000000000001	-0.869293	41.55891
1.1400000000000001	-0.859287	36.70755
1.1500000000000001	-0.849281	28.46286
1.16	-0.839275	27.43705
1.17	-0.829268	32.31608
1.18	-0.819262	34.34888
1.19	-0.809256	25.22832
1.2	-0.79925	31.38161
1.21	-0.789243	28.99801
1.22	-0.779237	29.87667
1.23	-0.769231	49.09882
1.24	-0.759225	42.51165
1.25	-0.749218	44.46923
1.26	-0.739212	31.88988
1.27	-0.729206	36.24328
1.28	-0.7192	48.9939
1.29	-0.709193	39.68003
1.3	-0.699187	37.12476
1.31	-0.689181	46.29165
1.32	-0.679175	36.26332
1.33	-0.669168	38.11523
1.34	-0.659162	44.65565
1.35	-0.649156	37.1807
1.36	-0.63915	37.80806
1.37	-0.629143	32.537
1.3800000000000001	-0.619137	35.4665
1.3900000000000001	-0.609131	38.25511
1.4000000000000001	-0.599125	31.46773
1.41	-0.589118	38.24815
1.42	-0.579112	26.76643
1.43	-0.569106	47.77841
1.44	-0.5591	31.81474
1.45	-0.549093	28.62103
1.46	-0.539087	41.45588
1.47	-0.529081	26.11069
1.48	-0.519075	32.13885
1.49	-0.509068	33.2953
1.5	-0.499062	33.62464
1.51	-0.489056	36.14278
1.52	-0.47905	43.68846
1.53	-0.469043	32.46892
1.54	-0.459037	47.47998
1.55	-0.449031	40.17048
1.56	-0.439025	42.07635
1.57	-0.429018	36.89365
1.58	-0.419012	42.5957
1.59	-0.409006	38.2619
