Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	28.47051
0.02	-0.420013	30.02662
0.03	-0.430019	36.77372
0.04	-0.440025	43.188
0.05	-0.450031	28.42151
0.06	-0.460038	38.20154
0.07	-0.470044	30.02401
0.08	-0.48005	45.25548
0.09	-0.490056	30.00822
0.1	-0.500063	41.26496
0.11	-0.510069	28.16187
0.12	-0.520075	39.89328
0.13	-0.530081	24.75526
0.14	-0.540088	44.67154
0.15	-0.550094	41.42495
0.16	-0.5601	24.8439
0.17	-0.570106	22.90095
0.18	-0.580113	34.0685
0.19	-0.590119	26.08915
0.2	-0.600125	35.72184
0.21	-0.610131	23.45397
0.22	-0.620138	30.84096
0.23	-0.630144	24.4194
0.24	-0.64015	30.3388
0.25	-0.650156	32.98128
0.26	-0.660163	33.83973
0.27	-0.670169	28.57861
0.28	-0.680175	18.99222
0.29	-0.690181	30.84869
0.3	-0.700188	24.46056
0.31	-0.710194	26.20871
0.32	-0.7202	35.88763
0.33	-0.730206	38.79647
0.34	-0.740213	28.98506
0.35000000000000003	-0.750219	30.36474
0.36	-0.760225	37.70643
0.37	-0.770231	27.43265
0.38	-0.780238	32.63449
0.39	-0.790244	30.28691
0.4	-0.80025	30.58599
0.41000000000000003	-0.810256	17.03916
0.42	-0.820263	32.68932
0.43	-0.830269	20.92655
0.44	-0.840275	30.36304
0.45	-0.850281	29.01161
0.46	-0.860288	32.87249
0.47000000000000003	-0.870294	27.68706
0.48	-0.8803	32.84404
0.49	-0.890306	25.17039
0.5	-0.900313	36.239
0.51	-0.910319	28.10956
0.52	-0.920325	24.38718
0.53	-0.930331	16.46245
0.54	-0.940338	30.51372
0.55	-0.950344	26.64306
0.56	-0.96035	17.28843
0.5700000000000001	-0.970356	7.793417
0.58	-0.980363	21.78697
0.59	-0.990369	31.28957
0.6	-1.000375	27.05574
0.61	-1.010381	18.16521
0.62	-1.020388	29.27251
0.63	-1.030394	23.23578
0.64	-1.0404	30.98648
0.65	-1.050406	4.907945
0.66	-1.060413	22.56085
0.67	-1.070419	15.71241
0.68	-1.080425	21.32471
0.6900000000000001	-1.090431	34.2621
0.7000000000000001	-1.100438	25.14439
0.71	-1.110444	21.14608
0.72	-1.12045	15.56483
0.73	-1.130456	21.61774
0.74	-1.140463	20.71069
0.75	-1.150469	27.10017
0.76	-1.160475	22.44879
0.77	-1.170481	23.48575
0.78	-1.180488	22.88175
0.79	-1.190494	20.85861
0.8	-1.1995	21.58751
0.81	-1.189493	18.34379
0.8200000000000001	-1.179487	17.39835
0.8300000000000001	-1.169481	13.11214
0.84	-1.159475	3.667224
0.85	-1.149468	23.87593
0.86	-1.139462	24.96728
0.87	-1.129456	29.24687
0.88	-1.11945	12.00786
0.89	-1.109443	20.13686
0.9	-1.099437	18.14178
0.91	-1.089431	21.67446
0.92	-1.079425	10.61434
0.93	-1.069418	17.94335
0.9400000000000001	-1.059412	31.81573
0.9500000000000001	-1.049406	24.2675
0.96	-1.0394	14.79635
0.97	-1.029393	26.88844
0.98	-1.019387	32.62106
0.99	-1.009381	30.63702
1.0	-0.999375	17.28988
1.01	-0.989368	30.02978
1.02	-0.979362	25.29796
1.03	-0.969356	27.0764
1.04	-0.95935	32.45754
1.05	-0.949343	24.98907
1.06	-0.939337	18.22145
1.07	-0.929331	36.1708
1.08	-0.919325	28.68449
1.09	-0.909318	30.30822
1.1	-0.899312	27.1586
1.11	-0.889306	27.05944
1.12	-0.8793	31.06505
1.1300000000000001	-0.869293	24.42168
1.1400000000000001	-0.859287	14.24302
1.1500000000000001	-0.849281	12.32626
1.16	-0.839275	19.79145
1.17	-0.829268	28.05879
1.18	-0.819262	29.95795
1.19	-0.809256	27.18011
1.2	-0.79925	18.24728
1.21	-0.789243	25.87018
1.22	-0.779237	32.14624
1.23	-0.769231	26.24887
1.24	-0.759225	31.81158
1.25	-0.749218	34.75251
1.26	-0.739212	34.70226
1.27	-0.729206	29.58189
1.28	-0.7192	29.98645
1.29	-0.709193	37.06708
1.3	-0.699187	25.59902
1.31	-0.689181	35.74992
1.32	-0.679175	35.88929
1.33	-0.669168	38.10181
1.34	-0.659162	34.77273
1.35	-0.649156	30.69502
1.36	-0.63915	33.69908
1.37	-0.629143	37.25388
1.3800000000000001	-0.619137	33.09468
1.3900000000000001	-0.609131	41.66874
1.4000000000000001	-0.599125	34.03931
1.41	-0.589118	30.96064
1.42	-0.579112	24.77242
1.43	-0.569106	29.91628
1.44	-0.5591	34.77197
1.45	-0.549093	37.03758
1.46	-0.539087	23.53712
1.47	-0.529081	34.95763
1.48	-0.519075	30.61986
1.49	-0.509068	26.5712
1.5	-0.499062	23.85102
1.51	-0.489056	36.647
1.52	-0.47905	31.22
1.53	-0.469043	32.97627
1.54	-0.459037	41.79521
1.55	-0.449031	26.14996
1.56	-0.439025	36.41354
1.57	-0.429018	40.08842
1.58	-0.419012	34.22308
1.59	-0.409006	39.5755
