Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	40.04137
0.02	-0.420013	34.7659
0.03	-0.430019	19.82949
0.04	-0.440025	31.49464
0.05	-0.450031	37.86171
0.06	-0.460038	35.9678
0.07	-0.470044	31.65353
0.08	-0.48005	36.89739
0.09	-0.490056	35.45964
0.1	-0.500063	26.85794
0.11	-0.510069	38.20958
0.12	-0.520075	31.33426
0.13	-0.530081	39.48845
0.14	-0.540088	33.8476
0.15	-0.550094	31.12433
0.16	-0.5601	29.52558
0.17	-0.570106	21.35914
0.18	-0.580113	33.61282
0.19	-0.590119	26.58728
0.2	-0.600125	39.35766
0.21	-0.610131	34.61936
0.22	-0.620138	24.38466
0.23	-0.630144	18.74558
0.24	-0.64015	25.18552
0.25	-0.650156	36.78917
0.26	-0.660163	24.45302
0.27	-0.670169	29.43155
0.28	-0.680175	30.77868
0.29	-0.690181	34.47062
0.3	-0.700188	32.55401
0.31	-0.710194	30.31157
0.32	-0.7202	36.16603
0.33	-0.730206	36.66298
0.34	-0.740213	26.77839
0.35000000000000003	-0.750219	27.86591
0.36	-0.760225	38.31311
0.37	-0.770231	26.19928
0.38	-0.780238	21.62765
0.39	-0.790244	30.22437
0.4	-0.80025	34.18084
0.41000000000000003	-0.810256	28.5286
0.42	-0.820263	32.8333
0.43	-0.830269	35.85008
0.44	-0.840275	25.70424
0.45	-0.850281	24.05126
0.46	-0.860288	25.26121
0.47000000000000003	-0.870294	29.65307
0.48	-0.8803	20.06168
0.49	-0.890306	18.5585
0.5	-0.900313	31.70491
0.51	-0.910319	29.88436
0.52	-0.920325	24.70473
0.53	-0.930331	29.74511
0.54	-0.940338	10.92094
0.55	-0.950344	28.65785
0.56	-0.96035	24.23248
0.5700000000000001	-0.970356	32.30179
0.58	-0.980363	23.84525
0.59	-0.990369	17.65833
0.6	-1.000375	17.75022
0.61	-1.010381	23.98318
0.62	-1.020388	17.15448
0.63	-1.030394	23.17042
0.64	-1.0404	34.05302
0.65	-1.050406	30.57491
0.66	-1.060413	24.6363
0.67	-1.070419	21.39595
0.68	-1.080425	25.51795
0.6900000000000001	-1.090431	14.33837
0.7000000000000001	-1.100438	23.53972
0.71	-1.110444	33.11698
0.72	-1.12045	17.28475
0.73	-1.130456	17.86046
0.74	-1.140463	22.71769
0.75	-1.150469	18.21964
0.76	-1.160475	20.51907
0.77	-1.170481	15.75436
0.78	-1.180488	21.51472
0.79	-1.190494	14.36004
0.8	-1.1995	10.41749
0.81	-1.189493	19.70843
0.8200000000000001	-1.179487	14.58765
0.8300000000000001	-1.169481	25.5731
0.84	-1.159475	21.73012
0.85	-1.149468	19.09935
0.86	-1.139462	20.26516
0.87	-1.129456	5.265969
0.88	-1.11945	28.0444
0.89	-1.109443	23.53223
0.9	-1.099437	23.74969
0.91	-1.089431	31.15631
0.92	-1.079425	28.85702
0.93	-1.069418	9.84872
0.9400000000000001	-1.059412	18.29501
0.9500000000000001	-1.049406	12.70833
0.96	-1.0394	22.17036
0.97	-1.029393	17.75491
0.98	-1.019387	28.74738
0.99	-1.009381	24.56168
1.0	-0.999375	22.92654
1.01	-0.989368	26.74168
1.02	-0.979362	30.33554
1.03	-0.969356	34.2213
1.04	-0.95935	27.1725
1.05	-0.949343	14.48769
1.06	-0.939337	32.12622
1.07	-0.929331	25.09424
1.08	-0.919325	12.24983
1.09	-0.909318	29.88476
1.1	-0.899312	16.58353
1.11	-0.889306	20.73957
1.12	-0.8793	29.16833
1.1300000000000001	-0.869293	22.15256
1.1400000000000001	-0.859287	35.20793
1.1500000000000001	-0.849281	31.65312
1.16	-0.839275	25.10436
1.17	-0.829268	25.29744
1.18	-0.819262	11.69654
1.19	-0.809256	22.78629
1.2	-0.79925	36.68338
1.21	-0.789243	33.56104
1.22	-0.779237	25.12797
1.23	-0.769231	21.83473
1.24	-0.759225	21.36909
1.25	-0.749218	32.51657
1.26	-0.739212	33.8127
1.27	-0.729206	28.72436
1.28	-0.7192	22.27649
1.29	-0.709193	27.28118
1.3	-0.699187	34.39087
1.31	-0.689181	34.20296
1.32	-0.679175	25.78597
1.33	-0.669168	29.74697
1.34	-0.659162	41.28782
1.35	-0.649156	29.9459
1.36	-0.63915	34.01902
1.37	-0.629143	32.95613
1.3800000000000001	-0.619137	34.3978
1.3900000000000001	-0.609131	30.73015
1.4000000000000001	-0.599125	31.24885
1.41	-0.589118	38.43596
1.42	-0.579112	41.9412
1.43	-0.569106	22.01675
1.44	-0.5591	36.37525
1.45	-0.549093	39.3716
1.46	-0.539087	32.5513
1.47	-0.529081	29.05235
1.48	-0.519075	36.07397
1.49	-0.509068	36.28301
1.5	-0.499062	18.36654
1.51	-0.489056	34.15468
1.52	-0.47905	38.15921
1.53	-0.469043	29.52928
1.54	-0.459037	34.78108
1.55	-0.449031	26.75312
1.56	-0.439025	28.55072
1.57	-0.429018	23.8735
1.58	-0.419012	28.96724
1.59	-0.409006	39.96663
