Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	37.89988
0.02	-0.420013	40.92788
0.03	-0.430019	42.17961
0.04	-0.440025	40.40554
0.05	-0.450031	42.84452
0.06	-0.460038	38.80278
0.07	-0.470044	38.57917
0.08	-0.48005	30.10658
0.09	-0.490056	34.23108
0.1	-0.500063	37.98757
0.11	-0.510069	27.01861
0.12	-0.520075	36.86381
0.13	-0.530081	35.67248
0.14	-0.540088	26.19164
0.15	-0.550094	33.67776
0.16	-0.5601	31.69157
0.17	-0.570106	37.12804
0.18	-0.580113	36.23658
0.19	-0.590119	34.29959
0.2	-0.600125	28.69641
0.21	-0.610131	34.0549
0.22	-0.620138	37.83886
0.23	-0.630144	30.02568
0.24	-0.64015	36.03585
0.25	-0.650156	30.55952
0.26	-0.660163	36.20792
0.27	-0.670169	23.28128
0.28	-0.680175	37.46847
0.29	-0.690181	32.34266
0.3	-0.700188	34.36151
0.31	-0.710194	27.9296
0.32	-0.7202	31.28962
0.33	-0.730206	28.28548
0.34	-0.740213	39.70412
0.35000000000000003	-0.750219	35.77089
0.36	-0.760225	22.18025
0.37	-0.770231	33.3922
0.38	-0.780238	34.57163
0.39	-0.790244	30.8158
0.4	-0.80025	27.45313
0.41000000000000003	-0.810256	23.63575
0.42	-0.820263	33.52971
0.43	-0.830269	19.28889
0.44	-0.840275	34.89197
0.45	-0.850281	29.81651
0.46	-0.860288	24.80193
0.47000000000000003	-0.870294	36.81981
0.48	-0.8803	24.21562
0.49	-0.890306	27.17649
0.5	-0.900313	26.44511
0.51	-0.910319	38.94198
0.52	-0.920325	38.34787
0.53	-0.930331	23.57085
0.54	-0.940338	36.6535
0.55	-0.950344	12.73059
0.56	-0.96035	24.84023
0.5700000000000001	-0.970356	31.35481
0.58	-0.980363	19.77967
0.59	-0.990369	14.71404
0.6	-1.000375	24.84245
0.61	-1.010381	21.27583
0.62	-1.020388	30.26018
0.63	-1.030394	30.92484
0.64	-1.0404	24.30401
0.65	-1.050406	24.91324
0.66	-1.060413	22.80644
0.67	-1.070419	26.85604
0.68	-1.080425	28.47771
0.6900000000000001	-1.090431	32.16032
0.7000000000000001	-1.100438	26.71951
0.71	-1.110444	20.11672
0.72	-1.12045	24.87071
0.73	-1.130456	13.72258
0.74	-1.140463	18.31392
0.75	-1.150469	21.76859
0.76	-1.160475	31.16804
0.77	-1.170481	25.8001
0.78	-1.180488	20.04144
0.79	-1.190494	21.76192
0.8	-1.1995	19.53369
0.81	-1.189493	16.35226
0.8200000000000001	-1.179487	23.42521
0.8300000000000001	-1.169481	23.37658
0.84	-1.159475	24.40196
0.85	-1.149468	22.54057
0.86	-1.139462	18.21784
0.87	-1.129456	26.47461
0.88	-1.11945	25.43218
0.89	-1.109443	6.68269
0.9	-1.099437	29.44376
0.91	-1.089431	30.24464
0.92	-1.079425	27.74699
0.93	-1.069418	29.75494
0.9400000000000001	-1.059412	25.76741
0.9500000000000001	-1.049406	20.58801
0.96	-1.0394	9.54551
0.97	-1.029393	27.18539
0.98	-1.019387	28.33033
0.99	-1.009381	25.90759
1.0	-0.999375	26.01186
1.01	-0.989368	30.37416
1.02	-0.979362	31.59594
1.03	-0.969356	31.35112
1.04	-0.95935	37.6771
1.05	-0.949343	22.17836
1.06	-0.939337	28.15565
1.07	-0.929331	28.78829
1.08	-0.919325	34.24605
1.09	-0.909318	27.7118
1.1	-0.899312	33.10528
1.11	-0.889306	26.52085
1.12	-0.8793	20.18303
1.1300000000000001	-0.869293	32.84713
1.1400000000000001	-0.859287	9.068239
1.1500000000000001	-0.849281	35.40602
1.16	-0.839275	20.26757
1.17	-0.829268	44.19067
1.18	-0.819262	42.03418
1.19	-0.809256	17.89641
1.2	-0.79925	36.82523
1.21	-0.789243	29.95646
1.22	-0.779237	36.92774
1.23	-0.769231	38.84101
1.24	-0.759225	38.73069
1.25	-0.749218	28.30467
1.26	-0.739212	33.79356
1.27	-0.729206	31.91653
1.28	-0.7192	40.7916
1.29	-0.709193	32.95326
1.3	-0.699187	33.34114
1.31	-0.689181	33.08703
1.32	-0.679175	30.15482
1.33	-0.669168	31.35972
1.34	-0.659162	39.27429
1.35	-0.649156	25.66482
1.36	-0.63915	34.46918
1.37	-0.629143	39.89458
1.3800000000000001	-0.619137	32.26178
1.3900000000000001	-0.609131	31.17073
1.4000000000000001	-0.599125	20.59079
1.41	-0.589118	37.50209
1.42	-0.579112	23.4861
1.43	-0.569106	40.27364
1.44	-0.5591	44.57629
1.45	-0.549093	34.40198
1.46	-0.539087	35.94302
1.47	-0.529081	31.81883
1.48	-0.519075	36.36452
1.49	-0.509068	18.62386
1.5	-0.499062	33.57862
1.51	-0.489056	42.01688
1.52	-0.47905	37.31469
1.53	-0.469043	39.95476
1.54	-0.459037	32.2034
1.55	-0.449031	41.04797
1.56	-0.439025	37.21422
1.57	-0.429018	46.91338
1.58	-0.419012	38.04604
1.59	-0.409006	39.94673
