Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	33.45563
0.02	-0.420013	40.1372
0.03	-0.430019	26.69029
0.04	-0.440025	33.24092
0.05	-0.450031	33.7594
0.06	-0.460038	34.34949
0.07	-0.470044	32.87653
0.08	-0.48005	30.82954
0.09	-0.490056	29.33309
0.1	-0.500063	27.24728
0.11	-0.510069	28.23001
0.12	-0.520075	35.32832
0.13	-0.530081	34.67003
0.14	-0.540088	39.5764
0.15	-0.550094	41.39191
0.16	-0.5601	41.95738
0.17	-0.570106	29.43897
0.18	-0.580113	39.84525
0.19	-0.590119	42.02082
0.2	-0.600125	31.86272
0.21	-0.610131	31.15875
0.22	-0.620138	43.42929
0.23	-0.630144	34.7485
0.24	-0.64015	24.76643
0.25	-0.650156	36.94347
0.26	-0.660163	38.07617
0.27	-0.670169	39.83772
0.28	-0.680175	35.47443
0.29	-0.690181	32.88118
0.3	-0.700188	20.6635
0.31	-0.710194	22.42471
0.32	-0.7202	29.94943
0.33	-0.730206	35.48417
0.34	-0.740213	33.53142
0.35000000000000003	-0.750219	36.29003
0.36	-0.760225	26.40729
0.37	-0.770231	26.586
0.38	-0.780238	26.49149
0.39	-0.790244	25.3967
0.4	-0.80025	35.49596
0.41000000000000003	-0.810256	26.18361
0.42	-0.820263	22.80561
0.43	-0.830269	26.88078
0.44	-0.840275	22.63345
0.45	-0.850281	27.8024
0.46	-0.860288	33.32006
0.47000000000000003	-0.870294	22.28012
0.48	-0.8803	16.62201
0.49	-0.890306	23.50639
0.5	-0.900313	29.12583
0.51	-0.910319	30.51997
0.52	-0.920325	27.86324
0.53	-0.930331	14.15152
0.54	-0.940338	22.40035
0.55	-0.950344	26.80407
0.56	-0.96035	40.91208
0.5700000000000001	-0.970356	20.78866
0.58	-0.980363	26.18717
0.59	-0.990369	24.32199
0.6	-1.000375	30.59473
0.61	-1.010381	23.40641
0.62	-1.020388	16.65078
0.63	-1.030394	25.63311
0.64	-1.0404	27.35828
0.65	-1.050406	21.30408
0.66	-1.060413	27.32144
0.67	-1.070419	19.20654
0.68	-1.080425	20.86815
0.6900000000000001	-1.090431	15.15569
0.7000000000000001	-1.100438	17.90577
0.71	-1.110444	27.36495
0.72	-1.12045	21.97289
0.73	-1.130456	31.94961
0.74	-1.140463	23.43037
0.75	-1.150469	27.1391
0.76	-1.160475	26.95544
0.77	-1.170481	26.67652
0.78	-1.180488	30.28375
0.79	-1.190494	19.66423
0.8	-1.1995	16.50987
0.81	-1.189493	22.95533
0.8200000000000001	-1.179487	13.60389
0.8300000000000001	-1.169481	10.5003
0.84	-1.159475	13.90827
0.85	-1.149468	23.199
0.86	-1.139462	19.08077
0.87	-1.129456	26.81355
0.88	-1.11945	21.86653
0.89	-1.109443	28.96549
0.9	-1.099437	18.13884
0.91	-1.089431	12.2487
0.92	-1.079425	33.81413
0.93	-1.069418	31.30282
0.9400000000000001	-1.059412	29.59987
0.9500000000000001	-1.049406	30.43081
0.96	-1.0394	25.21793
0.97	-1.029393	27.27857
0.98	-1.019387	32.10511
0.99	-1.009381	30.33227
1.0	-0.999375	24.30807
1.01	-0.989368	27.06167
1.02	-0.979362	11.9054
1.03	-0.969356	23.62201
1.04	-0.95935	20.03518
1.05	-0.949343	34.79751
1.06	-0.939337	37.80354
1.07	-0.929331	25.05159
1.08	-0.919325	29.89566
1.09	-0.909318	30.87737
1.1	-0.899312	20.16096
1.11	-0.889306	27.65434
1.12	-0.8793	31.93178
1.1300000000000001	-0.869293	18.61426
1.1400000000000001	-0.859287	27.93382
1.1500000000000001	-0.849281	13.81396
1.16	-0.839275	29.15943
1.17	-0.829268	34.5139
1.18	-0.819262	22.98593
1.19	-0.809256	37.29369
1.2	-0.79925	25.27506
1.21	-0.789243	28.56418
1.22	-0.779237	33.15257
1.23	-0.769231	30.16234
1.24	-0.759225	32.62173
1.25	-0.749218	28.11325
1.26	-0.739212	32.51838
1.27	-0.729206	32.14252
1.28	-0.7192	30.34786
1.29	-0.709193	30.34201
1.3	-0.699187	33.51502
1.31	-0.689181	35.86199
1.32	-0.679175	18.25454
1.33	-0.669168	24.83904
1.34	-0.659162	25.16873
1.35	-0.649156	34.67633
1.36	-0.63915	36.17472
1.37	-0.629143	30.12796
1.3800000000000001	-0.619137	35.919
1.3900000000000001	-0.609131	21.49494
1.4000000000000001	-0.599125	39.86674
1.41	-0.589118	27.64023
1.42	-0.579112	31.0723
1.43	-0.569106	32.27372
1.44	-0.5591	30.99443
1.45	-0.549093	28.02669
1.46	-0.539087	42.13156
1.47	-0.529081	30.67002
1.48	-0.519075	40.84771
1.49	-0.509068	49.83599
1.5	-0.499062	31.92346
1.51	-0.489056	40.30713
1.52	-0.47905	34.52335
1.53	-0.469043	36.10485
1.54	-0.459037	38.48264
1.55	-0.449031	39.61985
1.56	-0.439025	41.5746
1.57	-0.429018	38.91728
1.58	-0.419012	26.45335
1.59	-0.409006	46.71786
