Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	39.57542
0.02	-0.420013	42.93835
0.03	-0.430019	25.20422
0.04	-0.440025	35.69142
0.05	-0.450031	36.67717
0.06	-0.460038	32.28685
0.07	-0.470044	40.65047
0.08	-0.48005	40.20768
0.09	-0.490056	39.19831
0.1	-0.500063	42.69514
0.11	-0.510069	32.02732
0.12	-0.520075	26.28486
0.13	-0.530081	21.64174
0.14	-0.540088	34.32829
0.15	-0.550094	31.53336
0.16	-0.5601	21.23122
0.17	-0.570106	40.50492
0.18	-0.580113	26.55956
0.19	-0.590119	43.12933
0.2	-0.600125	29.00619
0.21	-0.610131	39.38919
0.22	-0.620138	30.53538
0.23	-0.630144	36.14873
0.24	-0.64015	32.50286
0.25	-0.650156	36.16925
0.26	-0.660163	27.94678
0.27	-0.670169	29.25042
0.28	-0.680175	25.02031
0.29	-0.690181	23.57284
0.3	-0.700188	30.44587
0.31	-0.710194	34.94352
0.32	-0.7202	27.51075
0.33	-0.730206	21.43676
0.34	-0.740213	37.33276
0.35000000000000003	-0.750219	22.82321
0.36	-0.760225	21.71074
0.37	-0.770231	24.47152
0.38	-0.780238	18.38563
0.39	-0.790244	26.20667
0.4	-0.80025	30.54535
0.41000000000000003	-0.810256	17.42456
0.42	-0.820263	22.64123
0.43	-0.830269	29.91181
0.44	-0.840275	21.33416
0.45	-0.850281	34.38629
0.46	-0.860288	36.24885
0.47000000000000003	-0.870294	27.56808
0.48	-0.8803	27.63089
0.49	-0.890306	29.33086
0.5	-0.900313	28.2741
0.51	-0.910319	33.21755
0.52	-0.920325	28.7301
0.53	-0.930331	20.37162
0.54	-0.940338	25.07166
0.55	-0.950344	15.02382
0.56	-0.96035	27.75401
0.5700000000000001	-0.970356	19.33533
0.58	-0.980363	19.49242
0.59	-0.990369	24.59319
0.6	-1.000375	27.89281
0.61	-1.010381	30.78681
0.62	-1.020388	27.63775
0.63	-1.030394	20.99147
0.64	-1.0404	22.39295
0.65	-1.050406	22.46227
0.66	-1.060413	18.94624
0.67	-1.070419	13.41481
0.68	-1.080425	21.25345
0.6900000000000001	-1.090431	28.92301
0.7000000000000001	-1.100438	10.54927
0.71	-1.110444	27.42933
0.72	-1.12045	19.57285
0.73	-1.130456	21.23013
0.74	-1.140463	26.398
0.75	-1.150469	31.30799
0.76	-1.160475	28.11953
0.77	-1.170481	12.8046
0.78	-1.180488	21.46643
0.79	-1.190494	19.43045
0.8	-1.1995	18.13254
0.81	-1.189493	7.172474
0.8200000000000001	-1.179487	12.76087
0.8300000000000001	-1.169481	23.65345
0.84	-1.159475	27.60581
0.85	-1.149468	20.92373
0.86	-1.139462	23.2895
0.87	-1.129456	23.31594
0.88	-1.11945	31.72461
0.89	-1.109443	7.30706
0.9	-1.099437	20.37354
0.91	-1.089431	12.11759
0.92	-1.079425	32.63013
0.93	-1.069418	16.62865
0.9400000000000001	-1.059412	23.22053
0.9500000000000001	-1.049406	33.93414
0.96	-1.0394	29.83066
0.97	-1.029393	16.94371
0.98	-1.019387	25.47024
0.99	-1.009381	22.73208
1.0	-0.999375	25.20513
1.01	-0.989368	27.96164
1.02	-0.979362	36.52353
1.03	-0.969356	31.89629
1.04	-0.95935	14.32449
1.05	-0.949343	24.81675
1.06	-0.939337	23.82782
1.07	-0.929331	18.93332
1.08	-0.919325	27.41492
1.09	-0.909318	31.88702
1.1	-0.899312	30.52455
1.11	-0.889306	16.05557
1.12	-0.8793	28.21803
1.1300000000000001	-0.869293	39.10392
1.1400000000000001	-0.859287	34.69791
1.1500000000000001	-0.849281	41.24957
1.16	-0.839275	37.02434
1.17	-0.829268	34.52913
1.18	-0.819262	27.25122
1.19	-0.809256	39.07153
1.2	-0.79925	18.48653
1.21	-0.789243	31.36427
1.22	-0.779237	28.13718
1.23	-0.769231	34.10311
1.24	-0.759225	21.38533
1.25	-0.749218	21.1722
1.26	-0.739212	27.88521
1.27	-0.729206	29.51016
1.28	-0.7192	35.58337
1.29	-0.709193	25.89342
1.3	-0.699187	32.09706
1.31	-0.689181	37.58404
1.32	-0.679175	37.47178
1.33	-0.669168	30.90204
1.34	-0.659162	20.57645
1.35	-0.649156	27.83458
1.36	-0.63915	34.215
1.37	-0.629143	18.7889
1.3800000000000001	-0.619137	34.01474
1.3900000000000001	-0.609131	31.31824
1.4000000000000001	-0.599125	29.03962
1.41	-0.589118	29.02463
1.42	-0.579112	33.07996
1.43	-0.569106	39.27499
1.44	-0.5591	29.38033
1.45	-0.549093	27.33215
1.46	-0.539087	43.02389
1.47	-0.529081	21.00931
1.48	-0.519075	33.42203
1.49	-0.509068	44.29549
1.5	-0.499062	40.59539
1.51	-0.489056	40.11604
1.52	-0.47905	41.44714
1.53	-0.469043	28.72772
1.54	-0.459037	35.45454
1.55	-0.449031	30.33106
1.56	-0.439025	37.4686
1.57	-0.429018	28.30224
1.58	-0.419012	32.8509
1.59	-0.409006	43.12769
