Time (s)	Voltage (V)	Current (uA)
0.01	-0.4005	44.75969
0.02	-0.401	44.72803
0.03	-0.4015	54.49955
0.04	-0.402	44.35417
0.05	-0.4025	41.02985
0.06	-0.403	43.68438
0.07	-0.4035	50.17
0.08	-0.404	49.30115
0.09	-0.4045	48.56074
0.1	-0.405	41.1495
0.11	-0.4055	40.13943
0.12	-0.406	51.64613
0.13	-0.4065	48.93016
0.14	-0.407	37.6619
0.15	-0.4075	40.51517
0.16	-0.408	35.00679
0.17	-0.4085	43.29441
0.18	-0.409	42.48236
0.19	-0.4095	46.82898
0.2	-0.41	45.17667
0.21	-0.4105	42.0474
0.22	-0.411	47.25972
0.23	-0.4115	47.54686
0.24	-0.412001	45.54449
0.25	-0.412501	42.70725
0.26	-0.413001	49.05432
0.27	-0.413501	47.69736
0.28	-0.414001	37.15182
0.29	-0.414501	45.62609
0.3	-0.415001	32.37874
0.31	-0.415501	47.32553
0.32	-0.416001	50.60577
0.33	-0.416501	51.89764
0.34	-0.417001	36.6993
0.35000000000000003	-0.417501	35.20951
0.36	-0.418001	40.49547
0.37	-0.418501	55.16247
0.38	-0.419001	50.42779
0.39	-0.419501	44.36961
0.4	-0.420001	34.09502
0.41000000000000003	-0.420501	51.94603
0.42	-0.421001	43.77389
0.43	-0.421501	37.75647
0.44	-0.422001	40.99361
0.45	-0.422501	53.48953
0.46	-0.423001	32.70448
0.47000000000000003	-0.423501	50.75126
0.48	-0.424001	39.14905
0.49	-0.424501	39.15316
0.5	-0.425001	41.5631
0.51	-0.425501	40.92093
0.52	-0.426001	35.01169
0.53	-0.426501	32.75047
0.54	-0.427001	39.99896
0.55	-0.427501	57.84228
0.56	-0.428001	52.28425
0.5700000000000001	-0.428501	41.816
0.58	-0.429001	51.55925
0.59	-0.429501	45.45973
0.6	-0.430001	44.32648
0.61	-0.430501	41.34438
0.62	-0.431001	46.15786
0.63	-0.431501	45.15277
0.64	-0.432001	46.68291
0.65	-0.432501	50.78762
0.66	-0.433001	49.70621
0.67	-0.433501	32.69687
0.68	-0.434001	43.17593
0.6900000000000001	-0.434501	44.28312
0.7000000000000001	-0.435001	40.3713
0.71	-0.435501	43.04502
0.72	-0.436001	31.60634
0.73	-0.436501	39.89192
0.74	-0.437001	47.3715
0.75	-0.437501	45.90747
0.76	-0.438001	49.46612
0.77	-0.438501	50.98685
0.78	-0.439001	37.10508
0.79	-0.439501	47.48999
0.8	-0.440001	55.28795
0.81	-0.440501	37.45634
0.8200000000000001	-0.441001	47.09185
0.8300000000000001	-0.441501	46.07381
0.84	-0.442001	44.2205
0.85	-0.442501	31.87552
0.86	-0.443001	42.69075
0.87	-0.443501	38.85391
0.88	-0.444002	32.26211
0.89	-0.444502	48.43866
0.9	-0.445002	46.29033
0.91	-0.445502	39.2326
0.92	-0.446002	38.63108
0.93	-0.446502	41.66827
0.9400000000000001	-0.447002	46.9967
0.9500000000000001	-0.447502	50.94856
0.96	-0.448002	34.47673
0.97	-0.448502	30.93956
0.98	-0.449002	44.46769
0.99	-0.449502	40.1521
1.0	-0.450002	43.85852
1.01	-0.450502	52.72431
1.02	-0.451002	43.65166
1.03	-0.451502	39.36689
1.04	-0.452002	45.32231
1.05	-0.452502	44.41882
1.06	-0.453002	37.44656
1.07	-0.453502	47.91676
1.08	-0.454002	39.24971
1.09	-0.454502	49.6354
1.1	-0.455002	38.04101
1.11	-0.455502	47.01426
1.12	-0.456002	44.12823
1.1300000000000001	-0.456502	43.03134
1.1400000000000001	-0.457002	54.76926
1.1500000000000001	-0.457502	43.19761
1.16	-0.458002	40.77875
1.17	-0.458502	38.08097
1.18	-0.459002	39.71946
1.19	-0.459502	35.74439
1.2	-0.460002	33.96867
1.21	-0.460502	48.25288
1.22	-0.461002	40.89879
1.23	-0.461502	42.41624
1.24	-0.462002	42.78823
1.25	-0.462502	47.72305
1.26	-0.463002	40.24548
1.27	-0.463502	41.7063
1.28	-0.464002	34.46427
1.29	-0.464502	39.34192
1.3	-0.465002	41.16057
1.31	-0.465502	42.14973
1.32	-0.466002	41.11
1.33	-0.466502	41.05577
