Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	35.71078
0.02	-0.420013	35.567
0.03	-0.430019	38.57718
0.04	-0.440025	41.75983
0.05	-0.450031	42.36391
0.06	-0.460038	42.65027
0.07	-0.470044	39.12223
0.08	-0.48005	45.05265
0.09	-0.490056	41.54745
0.1	-0.500063	37.16898
0.11	-0.510069	37.22335
0.12	-0.520075	29.27603
0.13	-0.530081	38.17904
0.14	-0.540088	30.7534
0.15	-0.550094	30.79789
0.16	-0.5601	43.38509
0.17	-0.570106	22.90343
0.18	-0.580113	32.96292
0.19	-0.590119	33.84418
0.2	-0.600125	27.9624
0.21	-0.610131	35.22626
0.22	-0.620138	34.70646
0.23	-0.630144	24.50334
0.24	-0.64015	23.63249
0.25	-0.650156	27.35299
0.26	-0.660163	29.70769
0.27	-0.670169	37.13729
0.28	-0.680175	27.72534
0.29	-0.690181	32.54187
0.3	-0.700188	24.31699
0.31	-0.710194	19.69981
0.32	-0.7202	26.90318
0.33	-0.730206	21.37213
0.34	-0.740213	24.39857
0.35000000000000003	-0.750219	34.90576
0.36	-0.760225	26.78869
0.37	-0.770231	28.75693
0.38	-0.780238	36.6925
0.39	-0.790244	28.48173
0.4	-0.80025	16.59395
0.41000000000000003	-0.810256	20.87649
0.42	-0.820263	17.37398
0.43	-0.830269	33.45111
0.44	-0.840275	29.80164
0.45	-0.850281	32.93153
0.46	-0.860288	22.243
0.47000000000000003	-0.870294	21.769
0.48	-0.8803	18.16966
0.49	-0.890306	36.26744
0.5	-0.900313	23.76665
0.51	-0.910319	23.91729
0.52	-0.920325	28.92728
0.53	-0.930331	22.41496
0.54	-0.940338	18.24951
0.55	-0.950344	25.24
0.56	-0.96035	30.77434
0.5700000000000001	-0.970356	23.32988
0.58	-0.980363	22.2339
0.59	-0.990369	25.59068
0.6	-1.000375	23.08952
0.61	-1.010381	21.3268
0.62	-1.020388	25.13661
0.63	-1.030394	9.885675
0.64	-1.0404	25.78051
0.65	-1.050406	31.33434
0.66	-1.060413	30.37057
0.67	-1.070419	28.81328
0.68	-1.080425	36.412
0.6900000000000001	-1.090431	22.84392
0.7000000000000001	-1.100438	20.35357
0.71	-1.110444	25.99846
0.72	-1.12045	16.60232
0.73	-1.130456	20.14835
0.74	-1.140463	14.14694
0.75	-1.150469	20.40876
0.76	-1.160475	12.14846
0.77	-1.170481	19.52852
0.78	-1.180488	23.48556
0.79	-1.190494	22.03781
0.8	-1.1995	24.11
0.81	-1.189493	22.81092
0.8200000000000001	-1.179487	18.87411
0.8300000000000001	-1.169481	22.93919
0.84	-1.159475	18.26676
0.85	-1.149468	20.7598
0.86	-1.139462	24.16477
0.87	-1.129456	4.848451
0.88	-1.11945	29.97709
0.89	-1.109443	23.82765
0.9	-1.099437	29.53999
0.91	-1.089431	18.15149
0.92	-1.079425	25.15198
0.93	-1.069418	25.90514
0.9400000000000001	-1.059412	13.59048
0.9500000000000001	-1.049406	17.35919
0.96	-1.0394	20.2658
0.97	-1.029393	16.21422
0.98	-1.019387	33.95077
0.99	-1.009381	7.679862
1.0	-0.999375	22.28961
1.01	-0.989368	23.51165
1.02	-0.979362	33.4847
1.03	-0.969356	15.11496
1.04	-0.95935	26.81982
1.05	-0.949343	11.72549
1.06	-0.939337	27.18737
1.07	-0.929331	31.48528
1.08	-0.919325	29.23989
1.09	-0.909318	27.6012
1.1	-0.899312	27.34287
1.11	-0.889306	17.35752
1.12	-0.8793	30.59595
1.1300000000000001	-0.869293	22.99725
1.1400000000000001	-0.859287	34.49632
1.1500000000000001	-0.849281	15.77276
1.16	-0.839275	27.50681
1.17	-0.829268	33.92919
1.18	-0.819262	30.09366
1.19	-0.809256	32.73526
1.2	-0.79925	37.82801
1.21	-0.789243	26.18018
1.22	-0.779237	33.86087
1.23	-0.769231	31.07852
1.24	-0.759225	37.65485
1.25	-0.749218	26.28284
1.26	-0.739212	34.73525
1.27	-0.729206	25.81834
1.28	-0.7192	34.62349
1.29	-0.709193	29.79698
1.3	-0.699187	26.09663
1.31	-0.689181	19.79483
1.32	-0.679175	14.75544
1.33	-0.669168	28.00948
1.34	-0.659162	29.50825
1.35	-0.649156	35.12785
1.36	-0.63915	15.58222
1.37	-0.629143	24.59978
1.3800000000000001	-0.619137	32.10483
1.3900000000000001	-0.609131	27.65001
1.4000000000000001	-0.599125	32.48971
1.41	-0.589118	35.39344
1.42	-0.579112	32.62267
1.43	-0.569106	35.26997
1.44	-0.5591	36.10748
1.45	-0.549093	39.42766
1.46	-0.539087	37.21679
1.47	-0.529081	45.32797
1.48	-0.519075	39.69892
1.49	-0.509068	30.30462
1.5	-0.499062	35.44764
1.51	-0.489056	35.62543
1.52	-0.47905	26.86144
1.53	-0.469043	27.38486
1.54	-0.459037	44.13207
1.55	-0.449031	40.36339
1.56	-0.439025	31.8708
1.57	-0.429018	29.26127
1.58	-0.419012	36.40913
1.59	-0.409006	34.44248
