Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	28.50296
0.02	-0.420013	42.1112
0.03	-0.430019	26.36428
0.04	-0.440025	36.63202
0.05	-0.450031	28.81579
0.06	-0.460038	31.71929
0.07	-0.470044	25.94203
0.08	-0.48005	28.99782
0.09	-0.490056	41.03407
0.1	-0.500063	33.01826
0.11	-0.510069	39.5808
0.12	-0.520075	39.18264
0.13	-0.530081	29.51141
0.14	-0.540088	32.88721
0.15	-0.550094	27.03359
0.16	-0.5601	30.24957
0.17	-0.570106	30.4616
0.18	-0.580113	33.35796
0.19	-0.590119	35.70188
0.2	-0.600125	38.99888
0.21	-0.610131	36.71418
0.22	-0.620138	35.48976
0.23	-0.630144	23.41812
0.24	-0.64015	33.2354
0.25	-0.650156	31.65947
0.26	-0.660163	29.92575
0.27	-0.670169	30.71455
0.28	-0.680175	26.55845
0.29	-0.690181	28.70943
0.3	-0.700188	24.39111
0.31	-0.710194	38.01949
0.32	-0.7202	36.26551
0.33	-0.730206	21.76316
0.34	-0.740213	29.34094
0.35000000000000003	-0.750219	37.53785
0.36	-0.760225	30.46175
0.37	-0.770231	19.7385
0.38	-0.780238	34.52118
0.39	-0.790244	29.88269
0.4	-0.80025	30.51954
0.41000000000000003	-0.810256	19.76038
0.42	-0.820263	20.56123
0.43	-0.830269	22.26277
0.44	-0.840275	20.14319
0.45	-0.850281	32.08765
0.46	-0.860288	36.79103
0.47000000000000003	-0.870294	21.27856
0.48	-0.8803	27.02325
0.49	-0.890306	26.29459
0.5	-0.900313	16.3762
0.51	-0.910319	18.53616
0.52	-0.920325	30.18777
0.53	-0.930331	14.92021
0.54	-0.940338	38.06167
0.55	-0.950344	27.75804
0.56	-0.96035	28.78409
0.5700000000000001	-0.970356	23.82731
0.58	-0.980363	28.5981
0.59	-0.990369	26.22971
0.6	-1.000375	24.55683
0.61	-1.010381	14.05183
0.62	-1.020388	23.97225
0.63	-1.030394	31.22906
0.64	-1.0404	19.33842
0.65	-1.050406	19.22866
0.66	-1.060413	16.89259
0.67	-1.070419	13.39218
0.68	-1.080425	16.55462
0.6900000000000001	-1.090431	24.44302
0.7000000000000001	-1.100438	17.11993
0.71	-1.110444	24.3019
0.72	-1.12045	16.19234
0.73	-1.130456	7.655361
0.74	-1.140463	20.40928
0.75	-1.150469	21.09916
0.76	-1.160475	20.16418
0.77	-1.170481	28.10417
0.78	-1.180488	21.5517
0.79	-1.190494	7.765679
0.8	-1.1995	26.51325
0.81	-1.189493	11.12059
0.8200000000000001	-1.179487	7.640121
0.8300000000000001	-1.169481	17.08941
0.84	-1.159475	12.01594
0.85	-1.149468	24.05742
0.86	-1.139462	12.01201
0.87	-1.129456	17.36733
0.88	-1.11945	30.91736
0.89	-1.109443	31.66606
0.9	-1.099437	27.61254
0.91	-1.089431	18.03996
0.92	-1.079425	26.17948
0.93	-1.069418	30.40904
0.9400000000000001	-1.059412	23.38837
0.9500000000000001	-1.049406	20.7348
0.96	-1.0394	13.79591
0.97	-1.029393	31.72364
0.98	-1.019387	20.4463
0.99	-1.009381	31.1495
1.0	-0.999375	23.37514
1.01	-0.989368	25.1375
1.02	-0.979362	30.32119
1.03	-0.969356	32.28281
1.04	-0.95935	10.8234
1.05	-0.949343	33.66645
1.06	-0.939337	15.5692
1.07	-0.929331	31.74521
1.08	-0.919325	24.52364
1.09	-0.909318	25.02461
1.1	-0.899312	22.18579
1.11	-0.889306	28.21437
1.12	-0.8793	19.48749
1.1300000000000001	-0.869293	35.20054
1.1400000000000001	-0.859287	32.19095
1.1500000000000001	-0.849281	32.73409
1.16	-0.839275	31.72137
1.17	-0.829268	24.65365
1.18	-0.819262	32.88683
1.19	-0.809256	29.14488
1.2	-0.79925	13.60399
1.21	-0.789243	31.90574
1.22	-0.779237	35.46508
1.23	-0.769231	33.35433
1.24	-0.759225	29.19839
1.25	-0.749218	23.30178
1.26	-0.739212	31.31079
1.27	-0.729206	35.92769
1.28	-0.7192	20.89194
1.29	-0.709193	32.58263
1.3	-0.699187	33.62749
1.31	-0.689181	31.32711
1.32	-0.679175	41.48854
1.33	-0.669168	28.64772
1.34	-0.659162	30.19304
1.35	-0.649156	25.23547
1.36	-0.63915	39.23864
1.37	-0.629143	32.95278
1.3800000000000001	-0.619137	28.80083
1.3900000000000001	-0.609131	23.85936
1.4000000000000001	-0.599125	30.6978
1.41	-0.589118	35.80685
1.42	-0.579112	41.41294
1.43	-0.569106	30.2273
1.44	-0.5591	33.07373
1.45	-0.549093	35.75105
1.46	-0.539087	38.64906
1.47	-0.529081	30.34761
1.48	-0.519075	32.56718
1.49	-0.509068	31.84835
1.5	-0.499062	27.8222
1.51	-0.489056	40.01793
1.52	-0.47905	36.32555
1.53	-0.469043	32.53072
1.54	-0.459037	36.73461
1.55	-0.449031	39.61133
1.56	-0.439025	42.19645
1.57	-0.429018	34.80394
1.58	-0.419012	44.74762
1.59	-0.409006	42.28043
