Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	41.99572
0.02	-0.420013	36.58985
0.03	-0.430019	20.59949
0.04	-0.440025	49.34985
0.05	-0.450031	37.06847
0.06	-0.460038	27.08863
0.07	-0.470044	43.39008
0.08	-0.48005	41.41625
0.09	-0.490056	37.41285
0.1	-0.500063	20.70713
0.11	-0.510069	37.66256
0.12	-0.520075	35.38116
0.13	-0.530081	33.39715
0.14	-0.540088	50.6685
0.15	-0.550094	33.22371
0.16	-0.5601	36.9267
0.17	-0.570106	37.14924
0.18	-0.580113	29.0461
0.19	-0.590119	36.24068
0.2	-0.600125	13.08402
0.21	-0.610131	31.50297
0.22	-0.620138	32.34768
0.23	-0.630144	40.14753
0.24	-0.64015	38.33806
0.25	-0.650156	27.12483
0.26	-0.660163	38.24437
0.27	-0.670169	31.61182
0.28	-0.680175	38.89326
0.29	-0.690181	41.53509
0.3	-0.700188	32.80501
0.31	-0.710194	41.32622
0.32	-0.7202	36.16645
0.33	-0.730206	22.49826
0.34	-0.740213	31.46971
0.35000000000000003	-0.750219	26.39532
0.36	-0.760225	34.97359
0.37	-0.770231	28.38862
0.38	-0.780238	45.28611
0.39	-0.790244	34.67119
0.4	-0.80025	33.85557
0.41000000000000003	-0.810256	28.58064
0.42	-0.820263	11.9927
0.43	-0.830269	35.24646
0.44	-0.840275	28.80947
0.45	-0.850281	30.70166
0.46	-0.860288	43.89833
0.47000000000000003	-0.870294	26.82256
0.48	-0.8803	34.23752
0.49	-0.890306	14.52952
0.5	-0.900313	28.22493
0.51	-0.910319	35.72692
0.52	-0.920325	15.28395
0.53	-0.930331	29.39813
0.54	-0.940338	42.81755
0.55	-0.950344	28.35863
0.56	-0.96035	30.6619
0.5700000000000001	-0.970356	25.13832
0.58	-0.980363	33.92844
0.59	-0.990369	10.6988
0.6	-1.000375	28.43534
0.61	-1.010381	24.60987
0.62	-1.020388	40.79739
0.63	-1.030394	5.974535
0.64	-1.0404	28.1837
0.65	-1.050406	32.77729
0.66	-1.060413	7.800451
0.67	-1.070419	28.72416
0.68	-1.080425	34.64083
0.6900000000000001	-1.090431	24.76948
0.7000000000000001	-1.100438	32.7334
0.71	-1.110444	24.23337
0.72	-1.12045	26.10986
0.73	-1.130456	2.45169
0.74	-1.140463	31.75772
0.75	-1.150469	34.33902
0.76	-1.160475	0.722683
0.77	-1.170481	27.33033
0.78	-1.180488	21.24257
0.79	-1.190494	26.25149
0.8	-1.1995	22.9181
0.81	-1.189493	15.51353
0.8200000000000001	-1.179487	25.06479
0.8300000000000001	-1.169481	-11.02703
0.84	-1.159475	25.31317
0.85	-1.149468	19.3246
0.86	-1.139462	25.11749
0.87	-1.129456	50.99052
0.88	-1.11945	26.67011
0.89	-1.109443	40.33665
0.9	-1.099437	25.33951
0.91	-1.089431	44.21227
0.92	-1.079425	29.02743
0.93	-1.069418	32.75066
0.9400000000000001	-1.059412	19.9475
0.9500000000000001	-1.049406	28.55916
0.96	-1.0394	33.16557
0.97	-1.029393	22.69687
0.98	-1.019387	33.38084
0.99	-1.009381	19.2058
1.0	-0.999375	25.55359
1.01	-0.989368	40.87989
1.02	-0.979362	27.22987
1.03	-0.969356	37.65151
1.04	-0.95935	21.3866
1.05	-0.949343	32.86684
1.06	-0.939337	50.8836
1.07	-0.929331	23.18225
1.08	-0.919325	28.61922
1.09	-0.909318	33.60912
1.1	-0.899312	24.62532
1.11	-0.889306	28.64518
1.12	-0.8793	33.90093
1.1300000000000001	-0.869293	42.94035
1.1400000000000001	-0.859287	31.32445
1.1500000000000001	-0.849281	42.33207
1.16	-0.839275	13.2062
1.17	-0.829268	31.05805
1.18	-0.819262	47.88447
1.19	-0.809256	26.22979
1.2	-0.79925	30.23243
1.21	-0.789243	45.3601
1.22	-0.779237	34.76189
1.23	-0.769231	29.68432
1.24	-0.759225	32.86988
1.25	-0.749218	46.88663
1.26	-0.739212	31.55789
1.27	-0.729206	30.20745
1.28	-0.7192	29.2879
1.29	-0.709193	34.11776
1.3	-0.699187	37.20856
1.31	-0.689181	31.62403
1.32	-0.679175	47.89278
1.33	-0.669168	30.60815
1.34	-0.659162	41.53348
1.35	-0.649156	25.91959
1.36	-0.63915	34.54204
1.37	-0.629143	34.8357
1.3800000000000001	-0.619137	36.56578
1.3900000000000001	-0.609131	18.63358
1.4000000000000001	-0.599125	34.03273
1.41	-0.589118	53.3195
1.42	-0.579112	31.4484
1.43	-0.569106	36.83591
1.44	-0.5591	28.92619
1.45	-0.549093	34.18973
1.46	-0.539087	36.93522
1.47	-0.529081	36.09497
1.48	-0.519075	47.5439
1.49	-0.509068	59.34372
1.5	-0.499062	31.76063
1.51	-0.489056	40.43667
1.52	-0.47905	32.71577
1.53	-0.469043	33.27642
1.54	-0.459037	45.94399
1.55	-0.449031	34.21025
1.56	-0.439025	36.62365
1.57	-0.429018	40.1028
1.58	-0.419012	28.36528
1.59	-0.409006	39.46607
