Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	27.90551
0.02	-0.420013	29.0226
0.03	-0.430019	34.42408
0.04	-0.440025	31.21767
0.05	-0.450031	19.3088
0.06	-0.460038	37.24567
0.07	-0.470044	40.83402
0.08	-0.48005	22.80166
0.09	-0.490056	38.80271
0.1	-0.500063	26.29535
0.11	-0.510069	32.32775
0.12	-0.520075	32.20555
0.13	-0.530081	28.38446
0.14	-0.540088	34.32501
0.15	-0.550094	35.32832
0.16	-0.5601	31.55289
0.17	-0.570106	30.4583
0.18	-0.580113	27.03906
0.19	-0.590119	14.84454
0.2	-0.600125	29.30199
0.21	-0.610131	31.1545
0.22	-0.620138	23.9579
0.23	-0.630144	34.70887
0.24	-0.64015	34.19189
0.25	-0.650156	32.67879
0.26	-0.660163	16.38994
0.27	-0.670169	33.977
0.28	-0.680175	29.67695
0.29	-0.690181	16.90099
0.3	-0.700188	31.30444
0.31	-0.710194	42.23081
0.32	-0.7202	34.61757
0.33	-0.730206	33.0113
0.34	-0.740213	30.13752
0.35000000000000003	-0.750219	19.88026
0.36	-0.760225	26.17749
0.37	-0.770231	35.61245
0.38	-0.780238	25.272
0.39	-0.790244	25.27099
0.4	-0.80025	33.69994
0.41000000000000003	-0.810256	6.873686
0.42	-0.820263	26.60061
0.43	-0.830269	16.45438
0.44	-0.840275	25.84696
0.45	-0.850281	24.6797
0.46	-0.860288	28.68113
0.47000000000000003	-0.870294	23.22313
0.48	-0.8803	25.74242
0.49	-0.890306	18.55478
0.5	-0.900313	17.02864
0.51	-0.910319	22.79417
0.52	-0.920325	23.54303
0.53	-0.930331	30.71872
0.54	-0.940338	24.69526
0.55	-0.950344	24.30459
0.56	-0.96035	17.09176
0.5700000000000001	-0.970356	18.95405
0.58	-0.980363	23.07976
0.59	-0.990369	24.68818
0.6	-1.000375	19.15699
0.61	-1.010381	20.55235
0.62	-1.020388	6.271655
0.63	-1.030394	24.23614
0.64	-1.0404	32.53809
0.65	-1.050406	21.0928
0.66	-1.060413	20.32642
0.67	-1.070419	13.76406
0.68	-1.080425	20.75917
0.6900000000000001	-1.090431	22.49281
0.7000000000000001	-1.100438	19.28745
0.71	-1.110444	20.92762
0.72	-1.12045	19.58619
0.73	-1.130456	4.799984
0.74	-1.140463	25.5326
0.75	-1.150469	12.89849
0.76	-1.160475	10.37463
0.77	-1.170481	18.12816
0.78	-1.180488	19.2287
0.79	-1.190494	21.34027
0.8	-1.1995	18.79877
0.81	-1.189493	15.36349
0.8200000000000001	-1.179487	20.24419
0.8300000000000001	-1.169481	20.62203
0.84	-1.159475	13.87792
0.85	-1.149468	21.57604
0.86	-1.139462	24.01245
0.87	-1.129456	14.59168
0.88	-1.11945	18.7385
0.89	-1.109443	28.97491
0.9	-1.099437	11.64816
0.91	-1.089431	19.79887
0.92	-1.079425	22.61686
0.93	-1.069418	16.87207
0.9400000000000001	-1.059412	6.04218
0.9500000000000001	-1.049406	15.28692
0.96	-1.0394	16.1546
0.97	-1.029393	29.08694
0.98	-1.019387	22.14018
0.99	-1.009381	6.781184
1.0	-0.999375	25.74367
1.01	-0.989368	27.9747
1.02	-0.979362	27.70666
1.03	-0.969356	24.61655
1.04	-0.95935	14.41522
1.05	-0.949343	29.21366
1.06	-0.939337	19.21002
1.07	-0.929331	33.18139
1.08	-0.919325	23.21315
1.09	-0.909318	21.45398
1.1	-0.899312	30.74041
1.11	-0.889306	20.52781
1.12	-0.8793	28.39396
1.1300000000000001	-0.869293	25.88332
1.1400000000000001	-0.859287	28.35438
1.1500000000000001	-0.849281	23.38824
1.16	-0.839275	20.76933
1.17	-0.829268	29.6326
1.18	-0.819262	23.97975
1.19	-0.809256	28.7063
1.2	-0.79925	29.07598
1.21	-0.789243	30.62132
1.22	-0.779237	19.75745
1.23	-0.769231	17.58877
1.24	-0.759225	30.58437
1.25	-0.749218	19.61591
1.26	-0.739212	22.97179
1.27	-0.729206	29.89709
1.28	-0.7192	29.77329
1.29	-0.709193	21.37153
1.3	-0.699187	15.59555
1.31	-0.689181	22.43886
1.32	-0.679175	32.31503
1.33	-0.669168	29.81516
1.34	-0.659162	24.60718
1.35	-0.649156	31.81265
1.36	-0.63915	39.93863
1.37	-0.629143	27.90001
1.3800000000000001	-0.619137	25.24402
1.3900000000000001	-0.609131	25.41265
1.4000000000000001	-0.599125	30.15703
1.41	-0.589118	14.91832
1.42	-0.579112	27.79307
1.43	-0.569106	38.78839
1.44	-0.5591	28.8975
1.45	-0.549093	31.56283
1.46	-0.539087	31.52419
1.47	-0.529081	27.6272
1.48	-0.519075	21.28674
1.49	-0.509068	24.41254
1.5	-0.499062	27.73516
1.51	-0.489056	21.13647
1.52	-0.47905	26.44131
1.53	-0.469043	36.26723
1.54	-0.459037	41.45838
1.55	-0.449031	35.36343
1.56	-0.439025	36.09337
1.57	-0.429018	36.52289
1.58	-0.419012	27.77374
1.59	-0.409006	41.16299
